,artist,song,weeks_on_chart,peak_rank
0,2 Chainz Featuring Ariana Grande,Rule The World,2,94
1,2 Chainz Featuring Kendrick Lamar,Momma I Hit A Lick,1,100
2,2 Chainz Featuring Travis Scott,Whip,1,75
3,21 Savage,1.5,1,86
4,21 Savage,A Lot,23,12
5,21 Savage,ASMR,1,95
6,21 Savage,All My Friends,2,67
7,21 Savage,Break Da Law,1,70
8,21 Savage,Can't Leave Without It,4,58
9,21 Savage,Gun Smoke,1,93
10,21 Savage,Immortal,2,55
11,21 Savage,Monster,3,73
12,21 Savage,Out For The Night,1,88
13,21 Savage & Metro Boomin,Brand New Draco,1,57
14,21 Savage & Metro Boomin,Glock In My Lap,3,19
15,21 Savage & Metro Boomin,Many Men,2,33
16,21 Savage & Metro Boomin,My Dawg,1,56
17,21 Savage & Metro Boomin,No Opp Left Behind,1,71
18,21 Savage & Metro Boomin,RIP Luv,1,76
19,21 Savage & Metro Boomin,Runnin,7,9
20,21 Savage & Metro Boomin,Said N Done,1,91
21,21 Savage & Metro Boomin,Slidin,2,32
22,21 Savage & Metro Boomin,Steppin On Niggas,1,74
23,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,11,10
24,21 Savage & Metro Boomin Featuring Young Nudy,Snitches & Rats,1,61
25,21 Savage & Metro Boomin Featuring Young Thug,Rich Nigga Shit,2,26
26,24kGoldn,Valentino,1,92
27,24kGoldn Featuring iann dior,Mood,19,1
28,5 Seconds Of Summer,Easier,16,48
29,5 Seconds Of Summer,Youngblood,48,7
30,6LACK Featuring Lil Baby,Know My Rights,1,75
31,6ix9ine,Gooba,10,3
32,6ix9ine,YaYa,1,99
33,6ix9ine & Nicki Minaj,Trollz,4,1
34,6ix9ine Featuring Tory Lanez,KIKA,6,44
35,A Boogie Wit da Hoodie,Bleed,1,57
36,A Boogie Wit da Hoodie,Cinderella Story,1,95
37,A Boogie Wit da Hoodie,King Of My City,3,69
38,A Boogie Wit da Hoodie,Look Back At It,31,27
39,A Boogie Wit da Hoodie,Me And My Guitar,2,58
40,A Boogie Wit da Hoodie,Mood Swings,1,76
41,A Boogie Wit da Hoodie,Thug Love,1,73
42,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,20,38
43,A Boogie Wit da Hoodie Featuring DaBaby,Stain,1,80
44,A Boogie Wit da Hoodie Featuring Juice WRLD,Demons And Angels,3,90
45,A Boogie Wit da Hoodie Featuring Lil Uzi Vert,Reply,2,49
46,A Boogie Wit da Hoodie Featuring Offset & Tyga,Startender,9,59
47,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers,3,23
48,A Boogie Wit da Hoodie Featuring Young Thug,Might Not Give Up,1,66
49,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,Move Ya Hips,2,19
50,A$AP Rocky,Babushka Boi,1,69
51,AJR,Bang!,24,24
52,Agust D,Daechwita,1,76
53,Alec Benjamin + Alessia Cara,Let Me Down Slowly,9,79
54,Ali Gatie,It's You,15,70
55,Ali Gatie,What If I Told You That I Love You,1,95
56,Alicia Keys,Underdog,5,69
57,Alicia Keys Featuring Miguel,Show Me Love,1,90
58,Ambjaay,Uno,3,82
59,Andrew Jannakos,Gone Too Soon,1,65
60,Andy Williams,Happy Holiday / The Holiday Season,7,24
61,Andy Williams,It's The Most Wonderful Time Of The Year,19,6
62,Anitta Featuring Cardi B & Myke Towers,Me Gusta,1,91
63,Ant Saunders,Yellow Hearts,8,81
64,Anuel AA,KEII,1,83
65,Anuel AA & Bad Bunny,Hasta Que Dios Diga,1,86
66,Anuel AA & Karol G,Secreto,11,68
67,Anuel AA & Romeo Santos,Ella Quiere Beber,20,61
68,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,18,43
69,Arcangel x Sech,Sigues Con El,3,78
70,Ariana Grande,34+35,7,8
71,Ariana Grande,7 Rings,33,1
72,Ariana Grande,Bad Idea,3,27
73,Ariana Grande,Bloodline,3,22
74,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",20,2
75,Ariana Grande,Breathin,25,12
76,Ariana Grande,Fake Smile,2,26
77,Ariana Grande,Ghostin,2,25
78,Ariana Grande,Imagine,8,21
79,Ariana Grande,In My Head,2,38
80,Ariana Grande,Just Like Magic,2,43
81,Ariana Grande,Love Language,1,75
82,Ariana Grande,Make Up,2,48
83,Ariana Grande,My Hair,1,65
84,Ariana Grande,NASA,3,17
85,Ariana Grande,Nasty,1,49
86,Ariana Grande,Needy,4,14
87,Ariana Grande,Obvious,1,70
88,Ariana Grande,Positions,8,1
89,Ariana Grande,Santa Tell Me,7,32
90,Ariana Grande,Shut Up,1,47
91,Ariana Grande,Six Thirty,1,63
92,Ariana Grande,"Thank U, Next",28,1
93,Ariana Grande,West Side,1,71
94,Ariana Grande,pov,6,40
95,Ariana Grande & Justin Bieber,Stuck With U,18,1
96,Ariana Grande & Social House,Boyfriend,12,8
97,Ariana Grande & Victoria Monet,Monopoly,2,69
98,Ariana Grande Featuring Doja Cat,Motive,2,32
99,Ariana Grande Featuring The Weeknd,Off The Table,2,35
100,Ariana Grande Featuring Ty Dolla $ign,Safety Net,1,52
101,"Ariana Grande, Miley Cyrus & Lana Del Rey",Don't Call Me Angel (Charlie's Angels),7,13
102,Arizona Zervas,Roxanne,26,4
103,Ashe Featuring Niall Horan,Moral Of The Story,3,71
104,Ashley McBryde,One Night Standards,15,76
105,Ava Max,Kings & Queens,19,13
106,Ava Max,Sweet But Psycho,35,10
107,Aventura,Inmortal,1,95
108,Avicii,Heaven,1,83
