,id,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date
0,0,"Thank U, Next",Ariana Grande,1,1,8,1,2019-01-05
1,1,Without Me,Halsey,2,2,12,2,2019-01-05
2,2,All I Want For Christmas Is You,Mariah Carey,3,7,30,3,2019-01-05
3,3,Sicko Mode,Travis Scott,1,3,21,4,2019-01-05
4,4,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,4,4,10,5,2019-01-05
5,5,High Hopes,Panic! At The Disco,5,6,21,6,2019-01-05
6,6,Happier,Marshmello & Bastille,3,5,19,7,2019-01-05
7,7,Jingle Bell Rock,Bobby Helms,8,13,25,8,2019-01-05
8,8,Rockin' Around The Christmas Tree,Brenda Lee,9,11,27,9,2019-01-05
9,9,A Holly Jolly Christmas,Burl Ives,10,12,10,10,2019-01-05
10,10,The Christmas Song (Merry Christmas To You),Nat King Cole,11,17,17,11,2019-01-05
11,11,Drip Too Hard,Lil Baby & Gunna,4,9,15,12,2019-01-05
12,12,It's The Most Wonderful Time Of The Year,Andy Williams,10,10,10,13,2019-01-05
13,13,Girls Like You,Maroon 5 Featuring Cardi B,1,15,31,14,2019-01-05
14,14,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,8,11,15,2019-01-05
15,15,Rudolph The Red-Nosed Reindeer,Gene Autry,16,28,4,16,2019-01-05
16,16,Mo Bamba,Sheck Wes,6,16,18,17,2019-01-05
17,17,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,14,15,18,2019-01-05
18,18,Money,Cardi B,13,30,10,19,2019-01-05
19,19,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,20,32,4,20,2019-01-05
20,20,Eastside,"benny blanco, Halsey & Khalid",16,18,24,21,2019-01-05
21,21,Breathin,Ariana Grande,12,19,19,22,2019-01-05
22,22,Better Now,Post Malone,3,21,35,23,2019-01-05
23,23,Youngblood,5 Seconds Of Summer,7,20,30,24,2019-01-05
24,24,Last Christmas,Wham!,25,27,9,25,2019-01-05
25,25,Sleigh Ride,The Ronettes,26,33,3,26,2019-01-05
26,26,Lucid Dreams,Juice WRLD,2,23,33,27,2019-01-05
27,27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,28,35,3,28,2019-01-05
28,28,Feliz Navidad,Jose Feliciano,29,34,5,29,2019-01-05
29,29,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,25,13,30,2019-01-05
30,30,MIA,Bad Bunny Featuring Drake,5,26,11,31,2019-01-05
31,31,(There's No Place Like) Home For The Holidays,Perry Como,32,41,2,32,2019-01-05
32,32,Leave Me Alone,Flipp Dinero,27,31,15,33,2019-01-05
33,33,White Christmas,Bing Crosby,12,48,15,34,2019-01-05
34,34,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35,42,2,35,2019-01-05
35,35,Going Bad,Meek Mill Featuring Drake,6,22,4,36,2019-01-05
36,36,A Lot,21 Savage,37,0,1,37,2019-01-05
37,37,Trip,Ella Mai,11,29,21,38,2019-01-05
