,billboard_id,lyrics_id,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date,first_appearance,language,language_score
0,0,0,"Thank U, Next",Ariana Grande,1,1,8,1,2019-01-05,2019-01-05,en,0.9999969061879336
1,1,1,Without Me,Halsey,2,2,12,2,2019-01-05,2019-01-05,en,0.9999952079220392
2,2,2,All I Want For Christmas Is You,Mariah Carey,3,7,30,3,2019-01-05,2019-01-05,en,0.9999964398505936
3,3,3,Sicko Mode,Travis Scott,1,3,21,4,2019-01-05,2019-01-05,en,0.9999976627016532
4,4,4,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,4,4,10,5,2019-01-05,2019-01-05,en,0.999996536787246
5,5,5,High Hopes,Panic! At The Disco,5,6,21,6,2019-01-05,2019-01-05,en,0.9999961274238394
6,6,6,Happier,Marshmello & Bastille,3,5,19,7,2019-01-05,2019-01-05,en,0.9999964222119424
7,7,7,Jingle Bell Rock,Bobby Helms,8,13,25,8,2019-01-05,2019-01-05,en,0.9999963773780136
8,8,8,Rockin' Around The Christmas Tree,Brenda Lee,9,11,27,9,2019-01-05,2019-01-05,en,0.9999955029939244
9,9,9,A Holly Jolly Christmas,Burl Ives,10,12,10,10,2019-01-05,2019-01-05,en,0.9999969544760752
10,10,10,The Christmas Song (Merry Christmas To You),Nat King Cole,11,17,17,11,2019-01-05,2019-01-05,en,0.9999978283007204
11,11,11,Drip Too Hard,Lil Baby & Gunna,4,9,15,12,2019-01-05,2019-01-05,en,0.9999975456460884
12,12,12,It's The Most Wonderful Time Of The Year,Andy Williams,10,10,10,13,2019-01-05,2019-01-05,en,0.9999966413434708
13,13,13,Girls Like You,Maroon 5 Featuring Cardi B,1,15,31,14,2019-01-05,2019-01-05,en,0.9999973645444424
14,14,14,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,8,11,15,2019-01-05,2019-01-05,en,0.9999978471985916
15,15,15,Rudolph The Red-Nosed Reindeer,Gene Autry,16,28,4,16,2019-01-05,2019-01-05,en,0.9999956490760183
16,16,16,Mo Bamba,Sheck Wes,6,16,18,17,2019-01-05,2019-01-05,en,0.9999959700167778
17,17,17,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,14,15,18,2019-01-05,2019-01-05,en,0.9999976317536556
18,18,18,Money,Cardi B,13,30,10,19,2019-01-05,2019-01-05,en,0.9999953406365604
19,19,19,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,20,32,4,20,2019-01-05,2019-01-05,en,0.999995914317356
20,20,20,Eastside,"benny blanco, Halsey & Khalid",16,18,24,21,2019-01-05,2019-01-05,en,0.9999972470763858
21,21,21,Breathin,Ariana Grande,12,19,19,22,2019-01-05,2019-01-05,en,0.99999681626002
22,22,22,Better Now,Post Malone,3,21,35,23,2019-01-05,2019-01-05,en,0.9999953800383692
23,23,23,Youngblood,5 Seconds Of Summer,7,20,30,24,2019-01-05,2019-01-05,en,0.9999978369761772
24,24,24,Last Christmas,Wham!,25,27,9,25,2019-01-05,2019-01-05,en,0.999997517731302
25,25,25,Sleigh Ride,The Ronettes,26,33,3,26,2019-01-05,2019-01-05,en,0.9999973800952402
26,26,26,Lucid Dreams,Juice WRLD,2,23,33,27,2019-01-05,2019-01-05,en,0.9999981752956932
27,27,27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,28,35,3,28,2019-01-05,2019-01-05,en,0.9999957574580572
28,28,28,Feliz Navidad,Jose Feliciano,29,34,5,29,2019-01-05,2019-01-05,en,0.8571414532065731
29,29,29,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,25,13,30,2019-01-05,2019-01-05,en,0.9999961080424652
31,31,31,(There's No Place Like) Home For The Holidays,Perry Como,32,41,2,32,2019-01-05,2019-01-05,en,0.9999966547541091
32,32,32,Leave Me Alone,Flipp Dinero,27,31,15,33,2019-01-05,2019-01-05,en,0.999995762909964
33,33,33,White Christmas,Bing Crosby,12,48,15,34,2019-01-05,2019-01-05,en,0.9999967007863928
34,34,34,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35,42,2,35,2019-01-05,2019-01-05,en,0.9999963237603458
35,35,35,Going Bad,Meek Mill Featuring Drake,6,22,4,36,2019-01-05,2019-01-05,en,0.9999952963146952
36,36,36,A Lot,21 Savage,37,0,1,37,2019-01-05,2019-01-05,en,0.9999967975300555
37,37,37,Trip,Ella Mai,11,29,21,38,2019-01-05,2019-01-05,en,0.999997266145439
38,38,38,I Like It,"Cardi B, Bad Bunny & J Balvin",1,40,38,39,2019-01-05,2019-01-05,en,0.9999967576939746
39,39,39,Blue Christmas,Elvis Presley,40,0,1,40,2019-01-05,2019-01-05,en,0.999995992670295
40,40,40,Speechless,Dan + Shay,33,36,16,41,2019-01-05,2019-01-05,en,0.9999982053405804
41,41,41,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,42,45,2,42,2019-01-05,2019-01-05,en,0.999996781159868
42,42,42,Christmas (Baby Please Come Home),Darlene Love,43,50,2,43,2019-01-05,2019-01-05,en,0.9999943930145686
43,43,43,Underneath The Tree,Kelly Clarkson,44,0,4,44,2019-01-05,2019-01-05,en,0.999997014722016
44,44,44,Run Rudolph Run,Chuck Berry,45,0,4,45,2019-01-05,2019-01-05,en,0.9999960981686098
45,45,45,Natural,Imagine Dragons,13,43,23,46,2019-01-05,2019-01-05,en,0.9999990506156248
46,46,46,Wow.,Post Malone,47,0,1,47,2019-01-05,2019-01-05,en,0.9999985065531838
47,47,47,Love Lies,Khalid & Normani,9,37,45,48,2019-01-05,2019-01-05,en,0.999997246820774
48,48,48,Jingle Bells,Frank Sinatra,49,0,1,49,2019-01-05,2019-01-05,en,0.9999987946826786
49,49,49,Beautiful,Bazzi Featuring Camila Cabello,30,38,21,50,2019-01-05,2019-01-05,en,0.9999961872722672
50,50,50,Better,Khalid,29,39,15,51,2019-01-05,2019-01-05,en,0.9999981437433118
51,51,51,Shallow,Lady Gaga & Bradley Cooper,5,44,13,52,2019-01-05,2019-01-05,en,0.999997572610413
52,52,52,Cozy Little Christmas,Katy Perry,53,68,2,53,2019-01-05,2019-01-05,en,0.999996710321801
53,53,53,She Got The Best Of Me,Luke Combs,34,51,20,54,2019-01-05,2019-01-05,en,0.9999962669033136
54,54,54,The Christmas Song,Lauren Daigle,55,90,2,55,2019-01-05,2019-01-05,en,0.9999970399698006
55,55,55,Uproar,Lil Wayne,7,49,13,56,2019-01-05,2019-01-05,en,0.999998844614918
56,56,56,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,57,0,1,57,2019-01-05,2019-01-05,en,0.9999965977458912
