,desc_keywords
0,"{'video': 6, 'u': 5, 'thank': 4, 'single': 3, 'arianas': 3, 'debut': 3, 'music': 3, 'lead': 2, 'ariana': 2, 'love': 2, 'song': 2, 'release': 2, 'november': 2, 'clip': 2, 'tweet': 2, 'view': 2, 'youtube': 2, 'titular': 1, 'track': 1, 'fifth': 1, 'studio': 1, 'album': 1, 'grande': 1, 'discuss': 1, 'theme': 1, 'self': 1, 'growth': 1, 'empowerment': 1, 'breakup': 1, 'reference': 1, 'public': 1, 'romantic': 1, 'relationship': 1, 'year': 1, 'shy': 1, 'dropping': 1, 'process': 1, 'minute': 1, 'episode': 1, 'saturday': 1, 'night': 1, 'live': 1, 'air': 1, 'promotional': 1, 'cast': 1, 'member': 1, 'ex': 1, 'fiancé': 1, 'pete': 1, 'davidson': 1, 'joke': 1, 'fail': 1, 'engagement': 1, 'aware': 1, 'express': 1, 'disgust': 1, 'delete': 1, 'write': 1, 'claim': 1, 'hate': 1, 'relevancy': 1, 'cling': 1, 'follow': 1, 'post': 1, 'phrase': 1, 'new': 1, 'mantra': 1, 'billboard': 1, 'hot': 1, 'eleventh': 1, 'entry': 1, 'high': 1, 'charting': 1, 'date': 1, 'surpass': 1, 'iggy': 1, 'azalea': 1, 'assist': 1, 'problem': 1, 'peak': 1, 'female': 1, 'artist': 1, 'chart': 1, 'adeles': 1, 'hello': 1, 'direct': 1, 'frequent': 1, 'collaborator': 1, 'hannah': 1, 'lux': 1, 'davis': 1, 'work': 1, 'breathin': 1, 'interpolate': 1, 'iconic': 1, 'early-2000s': 1, 'movie': 1, 'mean': 1, 'girl': 1, 'bring': 1, 'blonde': 1, 'feature': 1, 'cameo': 1, 'appearance': 1, 'celebrity': 1, 'include': 1, 'kris': 1, 'jenner': 1, 'troye': 1, 'sivan': 1, 'victorious': 1, 'co': 1, 'star': 1, 'daniella': 1, 'monet': 1, 'elizabeth': 1, 'gillies': 1, 'matt': 1, 'bennett': 1, 'huge': 1, 'success': 1, 'accumulate': 1, 'hour': 1, 'big': 1, 'global': 1, 'break': 1, 'record': 1, 'fast': 1, 'reach': 1}"
1,"{'song': 5, 'halsey': 4, 'track': 4, 'record': 4, 'album': 3, 'world': 3, 'release': 2, 'hopeless': 2, 'fountain': 2, 'kingdom': 2, 'relationship': 2, 'interview': 2, 'new': 1, 'direct': 1, 'ex': 1, 'g': 1, 'eazy': 1, 'cheat': 1, 'entire': 1, 'time': 1, 'dive': 1, 'personal': 1, 'feeling': 1, 'public': 1, 'different': 1, 'early': 1, 'conceptual': 1, 'badlands': 1, 'fact': 1, 'role': 1, 'play': 1, 'raw': 1, 'thing': 1, 'character': 1, 'life': 1, 'watch': 1, 'premiere': 1, 'zane': 1, 'lowes': 1, 'beats': 1, 'radio': 1, 'follow': 1, 'artist': 1, 'state': 1, 'future': 1, 'describe': 1, 'stand': 1, 'september': 1, 'reveal': 1, 'studio': 1, 'manic': 1, 'honor': 1, 'hit': 1, 'billboard': 1, 'hot': 1, 'remix': 1, 'feature': 1, 'juice': 1, 'wrld': 1}"
2,"{'song': 16, 'christmas': 10, 'want': 4, 'release': 4, 'mariah': 4, 'holiday': 4, 'record': 4, 'carey': 4, 'year': 4, 'sell': 3, 'time': 3, 'title': 3, 'chart': 3, 'love': 2, 'single': 2, 'careys': 2, 'album': 2, 'artist': 2, 'book': 2, 'new': 2, 'season': 2, 'earn': 2, 'billboard': 2, 'hot': 2, 'uptempo': 1, 'declare': 1, 'narrator': 1, 'care': 1, 'present': 1, 'light': 1, 'lover': 1, 'lead': 1, 'fourth': 1, 'studio': 1, 'merry': 1, 'establish': 1, 'standard': 1, 'copy': 1, 'debut': 1, 'download': 1, 'countless': 1, 'cover': 1, 'include': 1, 'miley': 1, 'cyrus': 1, 'john': 1, 'mayer': 1, 'shania': 1, 'twain': 1, 'ariana': 1, 'grande': 1, 'fifth': 1, 'harmony': 1, 'demi': 1, 'lovato': 1, 'cee': 1, 'lo': 1, 'green': 1, 'lady': 1, 'antebellum': 1, 'mumford': 1, 'sons': 1, 'duet': 1, 'justin': 1, 'bieber': 1, 'fun': 1, 'version': 1, 'classroom': 1, 'instrument': 1, 'child': 1, 'tonight': 1, 'star': 1, 'jimmy': 1, 'fallon': 1, 'influence': 1, 'extend': 1, 'music': 1, 'staple': 1, 'acknowledge': 1, 'longevity': 1, 'write': 1, 'dream': 1, 'classic': 1, 'proud': 1, 'impact': 1, 'continue': 1, 'create': 1, 'memory': 1, 'fan': 1, 'thrilled': 1, 'able': 1, 'bring': 1, 'story': 1, 'generation': 1, 'family': 1, 'picture': 1, 'movie': 1, 'legacy': 1, 'remain': 1, 'unparalleled': 1, 'original': 1, 'estimate': 1, 'royalty': 1, 'refer': 1, 'big': 1, 'immense': 1, 'popularity': 1, 'queen': 1, 'sure': 1, 'accept': 1, 'feel': 1, 'thank': 1, 'extraordinary': 1, 'good': 1, 'track': 1, 'reach': 1, 'mariahs': 1, '19th': 1, 'singer': 1, 'solo': 1, 'topper': 1, 'set': 1, 'long': 1, 'run': 1, 'surpass': 1, 'elton': 1, 'johns': 1, 'recording': 1, 'candle': 1, 'wind': 1}"
3,"{'drakes': 4, 'sicko': 3, 'refer': 3, 'track': 3, 'mode': 2, 'travis': 2, 'louis': 2, 'work': 1, 'ethic': 1, 'cut': 1, 'competition': 1, 'beast': 1, 'hometown': 1, 'toronto': 1, 'term': 1, 'derive': 1, 'vernacular': 1, 'friend': 1, 'bring': 1, 'limelight': 1, 'golden': 1, 'state': 1, 'warrior': 1, 'star': 1, 'kevin': 1, 'durant': 1, 'tweet': 1, 'reaction': 1, 'diss': 1, 'charge': 1, 'https://twitter.com/kdtrey5/status/625095671595401217?ref_src=twsrc%5etfw%7ctwcamp%5etweetembed%7ctwterm%5e625095671595401217&ref_url=https%3a%2f%2fgenius.com%2fdrake-summer-sixteen-lyric': 1, 'tease': 1, 'drake': 1, 'team': 1, 'vuitton': 1, 'release': 1, 'signs': 1, 'scott': 1, 'reply': 1, 'instagram': 1, 'post': 1, 'dawg': 1, 'belt': 1}"
4,"{'post': 6, 'sunflower': 4, 'swae': 3, 'lee': 3, 'verse': 3, 'song': 3, 'girl': 3, 'second': 2, 'malone': 2, 'malones': 2, 'spider': 2, 'end': 2, 'week': 2, 'flower': 2, 'plant': 2, 'star': 2, 'october': 2, 'mark': 1, 'collaboration': 1, 'serve': 1, 'single': 1, 'album': 1, 'hollywoods': 1, 'bleeding': 1, 'soundtrack': 1, 'animated': 1, 'film': 1, 'man': 1, 'track': 1, 'break': 1, 'record': 1, 'spend': 1, 'billboard': 1, 'hot': 1, 'r&b': 1, 'hip': 1, 'hop': 1, 'songs': 1, 'chart': 1, 'notch': 1, '45th': 1, 'symbol': 1, 'loyalty': 1, 'longevity': 1, 'ability': 1, 'retain': 1, 'beauty': 1, 'face': 1, 'environmental': 1, 'factor': 1, 'leave': 1, 'wilt': 1, 'represent': 1, 'girla': 1, 'woman': 1, 'persistence': 1, 'lack': 1, 'affection': 1, 'deplete': 1, 'nutrient': 1, 'soil': 1, 'quick': 1, 'inhibit': 1, 'growth': 1, 'imply': 1, 'person': 1, 's': 1, 'constant': 1, 'need': 1, 'help': 1, 'attention': 1, 'unable': 1, 'tend': 1, 'like': 1, 'mystery': 1, 'subject': 1, 'matter': 1, 'try': 1, 'relationship': 1, 'poor': 1, 'treatment': 1, 'receive': 1, 'remain': 1, 'swaes': 1, 'tease': 1, 'tonight': 1, 'jimmy': 1, 'fallon': 1, 'confirm': 1, 'facebook': 1, 'include': 1, 'snippet': 1, 'lyric': 1, 'video': 1, 'instagram': 1, 'account': 1}"
5,"{'high': 8, 'band': 6, 'release': 5, 'hopes': 4, 'brendon': 4, 'music': 4, 'fail': 4, 'dream': 3, 'panic': 3, 'urie': 3, 'member': 3, 'song': 3, 'career': 2, 'challenge': 2, 'write': 2, 'sin': 2, 'tragedies': 2, 'leave': 2, 'time': 2, 'success': 2, 'industry': 2, 'view': 2, 'video': 2, 'youtube': 2, 'disco': 2, 'number': 2, 'seek': 1, 'hesitancy': 1, 'come': 1, 'fruition': 1, 'wild': 1, 'imagination': 1, 'hope': 1, 'phrase': 1, 'mean': 1, 'strong': 1, 'feeling': 1, 'good': 1, 'happen': 1, 'true': 1, 'discos': 1, 'uries': 1, 'face': 1, 'change': 1, 'beginning': 1, 'panic!s': 1, 'journey': 1, 'fraught': 1, 'financial': 1, 'try': 1, 'end': 1, 'meet': 1, 'work': 1, 'smoothie': 1, 'king': 1, 'support': 1, 'create': 1, 'iconic': 1, 'afford': 1, 'pay': 1, 'professional': 1, 'string': 1, 'musician': 1, 'record': 1, 'middle': 1, 'school': 1, 'play': 1, 'note': 1, 'commercial': 1, 'trial': 1, 'plague': 1, 'attempt': 1, 'adapt': 1, 'turbulent': 1, 'scene': 1, 'maintain': 1, 'fade': 1, 'difficulty': 1, 'remain': 1, 'continue': 1, 'strive': 1, 'goal': 1, 'earn': 1, 'grammy': 1, 'nomination': 1, 'stint': 1, 'broadway': 1, 'kinky': 1, 'boots': 1, 'numerous': 1, 'accolade': 1, 'reveal': 1, 'inspiration': 1, 'twitter': 1, 'instagram': 1, 'description': 1, 'spend': 1, 'set': 1, 'expectation': 1, 'worry': 1, 'feel': 1, 'hit': 1, 'point': 1, 'realize': 1, 'aim': 1, 'order': 1, 'grow': 1, 'help': 1, 'thank': 1, 'b': 1, 'hour': 1, 'pm': 1, 'est': 1, 'official': 1, 'channel': 1, 'rack': 1, 'separate': 1, 'spotify': 1, 'single': 1, 'pray': 1, 'wicked': 1, 'precede': 1, 'saturday': 1, 'night': 1, 'fuck': 1, 'silver': 1, 'lining': 1, 'month': 1, 'charting': 1, 'history': 1, 'peak': 1, 'billboard': 1, 'hot': 1, 'surpass': 1}"
6,"{'artist': 3, 'happy': 2, 'collaboration': 2, 'bastille': 2, 'marshmello': 2, 'write': 1, 'produce': 1, 'mark': 1, 'tell': 1, 'story': 1, 'reflect': 1, 'fail': 1, 'relationship': 1, 'acknowledge': 1, 'pain': 1, 'partner': 1, 'know': 1, 'way': 1, 'lover': 1, 'leave': 1, 'teaser': 1, 'share': 1, 'social': 1, 'medium': 1, 'release': 1, 'artwork': 1, 'single': 1, 'reveal': 1, 'primary': 1, 'feature': 1, 'debate': 1, 'matter': 1, 'bastilles': 1, 'upcoming': 1, 'album': 1}"
7,{'good': 1}
8,{}
9,{}
