,keywords
0,"{'thank': 38, 'love': 8, 'fuckin': 7, 'teach': 6, 'patience': 5, 'pain': 5, 'amazing': 5, 'grateful': 5, 'ex': 5, 'look': 4, 'song': 3, 'lose': 3, 'find': 3, 'good': 2, 'shit': 2, 'need': 2, 'search': 2, 'smash': 2, 'turn': 2, 'yee': 2, 'thought': 1, 'end': 1, 'sean': 1, 'match': 1, 'write': 1, 'ricky': 1, 'listen': 1, 'laugh': 1, 'marry': 1, 'pete': 1, 'thankful': 1, 'malcolm': 1, 'angel': 1, 'spend': 1, 'time': 1, 'friend': 1, 'worry': 1, ""nothin'"": 1, 'meet': 1, ""havin'"": 1, 'discussion': 1, 'know': 1, 'fast': 1, 'ari': 1, 'handle': 1, 'day': 1, 'walk': 1, 'aisle': 1, 'hold': 1, 'hand': 1, 'mama': 1, 'dad': 1, 'grow': 1, 'drama': 1, 'wanna': 1, 'bad': 1, 'gon': 1, 'god': 1, 'forbid': 1, 'happen': 1, 'learn': 1}"
1,"{'know': 14, 'thinkin': 8, 'live': 8, 'baby': 5, 'fall': 4, 'tell': 4, 'feel': 4, 'sittin': 3, 'feelin': 3, 'high': 3, 'hold': 3, 'sky': 3, 'lonely': 3, 'find': 2, 'close': 2, 'catch': 2, 'laugh': 2, 'fuck': 2, 'knee': 2, 'foot': 2, 'advantage': 2, 'love': 2, 'try': 2, 'heart': 1, 'break': 1, 'fill': 1, 'cup': 1, 'overflow': 1, 'afraid': 1, 'leave': 1, 'demon': 1, 'mind': 1, 'notice': 1, 'blind': 1}"
2,"{'want': 19, 'christmas': 16, 'baby': 13, 'need': 4, 'wish': 4, 'lot': 3, 'know': 3, 'come': 3, 'true': 3, 'thing': 2, 'care': 2, 'present': 2, 'tree': 2, 'santa': 2, 'ask': 2, 'hear': 2, 'bring': 2, 'hang': 1, 'stocking': 1, 'fireplace': 1, 'claus': 1, 'happy': 1, 'toy': 1, 'day': 1, 'snow': 1, 'wait': 1, 'mistletoe': 1, 'list': 1, 'send': 1, 'north': 1, 'pole': 1, 'saint': 1, 'nick': 1, 'stay': 1, 'awake': 1, 'magic': 1, 'reindeer': 1, 'click': 1, 'tonight': 1, 'hold': 1, 'tight': 1, 'light': 1, 'shine': 1, 'sound': 1, 'child': 1, 'laughter': 1, 'fill': 1, 'air': 1, 'singe': 1, 'sleigh': 1, 'bell': 1, 'ring': 1, 'wanna': 1, 'stand': 1, 'door': 1}"
3,"{'light': 12, 'play': 8, 'ayy': 8, 'know': 6, 'shit': 6, 'man': 5, 'hit': 4, 'check': 4, 'hour': 3, 'land': 3, 'think': 3, 'playin': 3, 'weak': 3, 'bitch': 3, 'block': 3, 'astro': 2, ""nothin'"": 2, 'try': 2, ""goin'"": 2, 'woo': 2, 'ice': 2, 'pull': 2, 'boy': 2, 'way': 2, 'loot': 2, 'pop': 2, 'jamba': 2, 'juice': 2, 'win': 2, 'retreat': 2, 'deep': 2, 'bout': 2, 'shorty': 2, 'niggas': 2, 'love': 2, 'high': 2, 'school': 2, 'bus': 2, 'dance': 2, 'fbo': 2, 'duffel': 2, 'hand': 2, 'xan': 2, 'like': 2, 'shot': 2, 'wet': 2, 'book': 2, 'pass': 2, 'sendin': 2, 'skrrt': 2, 'sun': 1, 'freezin': 1, 'cold': 1, 'winter': 1, 'dawg': 1, 'louis': 1, 'belt': 1, 'pick': 1, 'roll': 1, 'young': 1, 'la': 1, 'flame': 1, 'sicko': 1, 'mode': 1, 'booth': 1, 'gate': 1, 'loose': 1, 'jump': 1, 'nike': 1, 'hoppin': 1, 'coupe': 1, 'big': 1, 'gimme': 1, 'remy': 1, 'papoose': 1, 'old': 1, 'town': 1, 'duck': 1, 'news': 1, 'lockdown': 1, 'poppin': 1, 'crew': 1, 'chase': 1, 'b': 1, 'mix': 1, 'different': 1, 'colored': 1, 'chain': 1, 'jeweler': 1, 'sellin': 1, 'fruit': 1, 'chokin': 1, 'cracker': 1, 'wish': 1, 'noose': 1, 'formal': 1, 'follow': 1, 'suit': 1, 'stacey': 1, 'dash': 1, 'girl': 1, 'clue': 1, 'hoe': 1, 'record': 1, 'produce': 1, 'ex': 1, 'group': 1, 'ese': 1, 'need': 1, 'bootch': 1, 'turn': 1, 'function': 1, 'bonnaroo': 1, 'tell': 1, 'hop': 1, 'comin': 1, 'treat': 1, 'uncle': 1, 'luke': 1, 'stop': 1, 'pussy': 1, 'slop': 1, 'roof': 1, 'moon': 1, 'room': 1, 'ocean': 1, 'pool': 1, 'open': 1, 'goose': 1, 'glue': 1, 'facetimed': 1, 'blue': 1, 'mother': 1, 'tay': 1, 'keith': 1, 'fuck': 1, 'sleep': 1, 'flight': 1, 'knock': 1, 'night': 1, 'double': 1, 'bedroom': 1, 'score': 1, 'settle': 1, 'creep': 1, 'right': 1, 'cut': 1, 'pay': 1, 'price': 1, 'sweet': 1, 'nah': 1, 'sight': 1, 'nice': 1, 'baguette': 1, 'jesus': 1, 'christ': 1, 'stripe': 1, 'lose': 1, 'respect': 1, 'threat': 1, 'shoot': 1, 'wetty': 1, 'sheck': 1, 'lizzie': 1, 'valley': 1, 'circle': 1, 'dizzy': 1, 'clean': 1, 'dawgs': 1, 'celly': 1, 'text': 1, 'kite': 1, 'lock': 1, 'stife': 1, 'absolute': 1, 'reboot': 1, 'laferrari': 1, 'road': 1, 'jumpin': 1, 'parachute': 1, 'glute': 1, 'god': 1, 'look': 1, 'foot': 1, 'daughter': 1, 'baby': 1, 'mama': 1, 'cover': 1, 'forbes': 1, 'shake': 1}"
4,"{'ayy': 6, 'wreck': 6, 'sunflower': 6, 'bad': 5, 'leave': 4, 'dust': 4, 'stick': 4, 'baby': 3, 'know': 3, 'needless': 2, 'check': 2, 'callin': 2, 'quit': 2, 'crash': 2, 'place': 2, 'think': 2, 'love': 2, 'time': 2, 'thinkin': 1, 'way': 1, 'losin': 1, 'grip': 1, 'screamin': 1, 'face': 1, 'trip': 1, 'big': 1, 'l': 1, 'feel': 1, 'lookin': 1, 'party': 1, 'tilt': 1, 'thing': 1, 'refuse': 1, 'ride': 1, 'cruise': 1, 'tryna': 1, 'lose': 1, 'leavin': 1, 'easy': 1, 'wish': 1, 'reason': 1, 'hear': 1, 'tellin': 1, 'turn': 1, 'fightin': 1, 'trust': 1, 'risk': 1, 'scared': 1, 'unknown': 1, 'known': 1, 'wanna': 1, 'come': 1, 'control': 1}"
5,"{'high': 46, 'hope': 23, 'live': 8, 'want': 6, 'mama': 5, 'shoot': 4, 'star': 4, 'killing': 4, 'dime': 4, 'vision': 4, 'know': 4, 'feeling': 4, 'stay': 4, 'rise': 4, 'day': 2, 'complicated': 2, 'tie': 2, 'love': 2, 'hate': 2, 'wait': 2, 'come': 2, 'fulfill': 1, 'prophecy': 1, 'great': 1, 'legacy': 1, 'manifest': 1, 'destiny': 1, 'burn': 1, 'biography': 1, 'rewrite': 1, 'history': 1, 'light': 1, 'wild': 1, 'dream': 1, 'museum': 1, 'victory': 1, 'uphill': 1, 'oddity': 1, 'strange': 1, 'crusader': 1, 'wannabe': 1, 'weird': 1, 'novelty': 1, 'change': 1, 'good': 1, 'run': 1, 'sight': 1}"
6,"{'want': 17, 'happy': 12, 'think': 7, 'know': 7, 'leave': 7, 'mean': 6, 'minute': 4, 'wanna': 4, 'raise': 4, 'spirit': 4, 'change': 3, 'mind': 3, 'feel': 3, 'right': 3, 'smile': 3, 'morning': 1, 'come': 1, 'cold': 1, 'light': 1, 'day': 1, 'flame': 1, 'wind': 1, 'fire': 1, 'begin': 1, 'argument': 1, 'word': 1, 'happen': 1, 'way': 1, 'story': 1, 'end': 1, 'evening': 1, 'fall': 1, 'thought': 1, 'image': 1, 'eat': 1, 'run': 1, 'course': 1, 'pretend': 1, 'okay': 1, 'jump': 1, 'swim': 1, 'wreck': 1, 'like': 1}"
7,"{'jingle': 28, 'bell': 23, 'time': 10, 'rock': 7, 'horse': 4, 'foot': 4, 'chime': 2, 'dancin': 2, 'prancin': 2, 'square': 2, 'frosty': 2, 'air': 2, 'bright': 2, 'right': 2, 'night': 2, 'swell': 2, 'glidin': 2, 'sleigh': 2, 'giddy': 2, 'pick': 2, 'clock': 2, 'mix': 2, 'mingle': 2, 'jinglin': 2, 'swing': 1, 'ring': 1, 'snowin': 1, 'blowin': 1, 'bushel': 1, 'fun': 1, 'hop': 1, 'begin': 1}"
8,"{'christmas': 6, 'rockin': 4, 'tree': 4, 'let': 3, 'sentimental': 2, 'feeling': 2, 'hear': 2, 'voice': 2, 'singe': 2, 'jolly': 2, 'deck': 2, 'hall': 2, 'bough': 2, 'holly': 2, 'happy': 2, 'holiday': 2, 'dance': 2, 'new': 2, 'old': 2, 'fashioned': 2, 'way': 2, 'party': 1, 'hop': 1, 'mistletoe': 1, 'hang': 1, 'couple': 1, 'try': 1, 'stop': 1, 'spirit': 1, 'ring': 1, 'pumpkin': 1, 'pie': 1, 'caroling': 1}"
9,"{'ding': 26, 'dong': 15, 'holly': 8, 'jolly': 8, 'christmas': 8, 'year': 4, 'know': 3, 'good': 2, 'time': 2, 'walk': 2, 'street': 2, 'friend': 2, 'meet': 2, 'ho': 2, 'mistletoe': 2, 'hang': 2, 'wait': 2, 'kiss': 2, 'case': 2, 'golly': 2, 'snow': 1, 'cup': 1, 'cheer': 1, 'hear': 1}"
