,title,artist,peakPos,lastPos,weeks,isNew,rank,date,year
0,Mood,24kGoldn Featuring iann dior,1,1,15,False,1,2020-11-28,2020
1,Therefore I Am,Billie Eilish,2,94,2,False,2,2020-11-28,2020
2,Positions,Ariana Grande,1,2,4,False,3,2020-11-28,2020
3,I Hope,Gabby Barrett Featuring Charlie Puth,3,3,47,False,4,2020-11-28,2020
4,Laugh Now Cry Later,Drake Featuring Lil Durk,2,4,14,False,5,2020-11-28,2020
5,Holy,Justin Bieber Featuring Chance The Rapper,3,7,9,False,6,2020-11-28,2020
6,Blinding Lights,The Weeknd,1,5,51,False,7,2020-11-28,2020
7,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,6,6,14,False,8,2020-11-28,2020
8,Dakiti,Bad Bunny & Jhay Cortez,8,8,3,False,9,2020-11-28,2020
9,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,10,20,False,10,2020-11-28,2020
10,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,1,9,23,False,11,2020-11-28,2020
11,Go Crazy,Chris Brown & Young Thug,9,13,28,False,12,2020-11-28,2020
12,Kings & Queens,Ava Max,13,15,15,False,13,2020-11-28,2020
13,Dynamite,BTS,1,17,13,False,14,2020-11-28,2020
14,More Than My Hometown,Morgan Wallen,15,19,23,False,15,2020-11-28,2020
15,WAP,Cardi B Featuring Megan Thee Stallion,1,11,15,False,16,2020-11-28,2020
16,Rockstar,DaBaby Featuring Roddy Ricch,1,14,31,False,17,2020-11-28,2020
17,Before You Go,Lewis Capaldi,9,16,42,False,18,2020-11-28,2020
18,Be Like That,Kane Brown With Swae Lee & Khalid,19,20,19,False,19,2020-11-28,2020
19,Levitating,Dua Lipa Featuring DaBaby,20,26,7,False,20,2020-11-28,2020
20,Watermelon Sugar,Harry Styles,1,18,35,False,21,2020-11-28,2020
21,Hawai,Maluma & The Weeknd,12,12,13,False,22,2020-11-28,2020
