,id,artist,first_artist,song,weeks_on_chart,peak_rank,lyrics,url,url_first_word,artist_first_word
97,9707,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,Ariana Grande Feat. Doja Cat,34+35,8,8,"Hmm

You might think I'm crazy
The way I've been cravin'
If I put it quite plainly
Just gimme them babies
So what you doin' tonight?
Better say, ""Doin' you right"" (Yeah)
Watchin' movies, but we ain't seen a thing tonight (Yeah)

I don't wanna keep you up (You up)
But show me, can you keep it up? (It up)
'Cause then I'll have to keep you up
Shit, maybe I'ma keep you up, boy
I've been drinkin' coffee (I've been drinkin' coffee; coffee)
And I've been eatin' healthy (I've been eatin' healthy; healthy)
You know I keep it squeaky, yeah (You know I keep it squeaky)
Savin' up my energy (Yeah, yeah, savin' up my energy)

Can you stay up all night?
Fuck me 'til the daylight
Thirty-four, thirty-five (Yeah, yeah, yeah, yeah)
Can you stay up all night? (All night)
Fuck mе 'til the daylight
Thirty-four, thirty-five (Yeah, yеah, yeah, yeah)
You drink it just like water (Water)
You say it tastes like candy
So what you doin' tonight? (Tonight)
Better say, ""Doin' you right"" (Alright)
Watchin' movies, but we ain't seen a thing tonight (Yeah)

I don't wanna keep you up (You up)
But show me, can you keep it up? (It up)
'Cause then I'll have to keep you up
Shit, maybe I'ma keep you up, boy
I've been drinkin' coffee (Said I've been drinkin' coffee; coffee)
And I've been eatin' healthy (And I've been eatin' healthy; healthy)
You know I keep it squeaky, yeah (Except this wine, babe)
Savin' up my energy (Yeah, yeah, yeah)

Can you stay up all night? (All night)
Fuck me 'til the daylight (Daylight)
Thirty-four, thirty-five (Thirty-five; yeah, yeah, yeah, yeah)
Can you stay up all night? (Can you stay?)
Fuck me 'til the daylight (Can you stay?)
Thirty-four, thirty-five (Yeah, yeah, yeah, yeah)

Oh yeah, yeah
Baby, you might need a seatbelt when I ride it
I'ma leave it open like a door, come inside it
Even though I'm wifey, you can hit it like a side chick
Don't need no side dick, no
Got the neighbors yellin' ""Earthquake!"" (Earthquake)
4.5 when I make the bed shake
Put it down heavy even though it's lightweight (It's lightweight, yeah, yeah, yeah, babe)
Yeah, we started at midnight
Go 'til the sunrise (Sunrise)
Done at the same time (Yeah)
But who's counting the time when we got it for life? (Got it for life)
I know all your favorite spots (Favorite spots)
We can take it from the top (From the top)
You such a dream come true, true
Make a bitch wanna hit snooze, ooh
Can you stay up all night?
Fuck me 'til the daylight (Yeah, yeah)
Thirty-four, thirty-five (Yeah, yeah, yeah, yeah)
(Thirty-four, thirty-five)
Can you stay up all night? (Do you know what that means?)
Fuck me 'til the daylight (Do you know what that means?)
Thirty-four, thirty-five (Yeah, yeah, yeah, yeah)
Yeah, yeah, yeah

Means I wanna ""69"" with you
No shit
Math class
Never was good152EmbedShare URLCopyEmbedCopy",https://genius.com/Ariana-grande-34-35-lyrics,genius,ariana
153,6252,Bad Bunny X Daddy Yankee,Bad Bunny,La Santa,2,53,"Tú no ere' una santa, ni yo soy un santo
Nos conocimo' pecando
Ahora me está' buscando
Porque quiere más de mí (¡Bad!)
Y yo te lo doy (¡Bunny!)
Te viene' y me voy (DY)
Te lo dije que esto era pa' jugar
Que no te podía' enamorar (¡Sube, sube, plo!)

Que ahora me quiere' cambiar
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (¿Qué, qué, qué?)
No te haga' la santa, el perreo te encanta (You know)
Y ahora me quiere' cambiar (Yeah-yeah, eh)
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (Tú ere' igual, bebé)
No te haga' la santa, el perreo te encanta (¡Da-ddy!)

Mami, somo' polo positivo y negativo (¿Qué?)
A la flecha de Cupido siempre me le esquivo (Cucú)
Tenemo' secreto' guarda'o en el archivo
No va a haber confianza si contigo convivo, baby
'Tás calentándote (Wow), yo calentándome (Eh)
Y tú dice' que tú ere' brava, pero a vece' te me quita (Rrr)
Y vuelve' y me excita'
Pero yo no soy el hombre que necesita' (Yeh)
Yo no voy con labia, no
Tú sabía' la que había, baby
El romance no e' mi área, no (¿Qué?)
No me diga' que te enamoraste de mí
Yo no voy con labia, no
Tú sabía' (Tú sabía'), la que había, baby (Baby)
El romance no e' mi área, no
No me diga' (No me diga'), que te enamoraste de mí (Mí)

Y ahora me quiere' cambiar (Sube)
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (Tú ere' igual, bebé)
No te haga' la santa, el perreo te encanta
Y ahora me quiere' cambiar (Me quiere' cambiar)
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (Trr)
No te haga' la santa, el perreo te encanta (Bad Bunny, come on)

No me diga' que me quiere', no me diga' que me ama'
Tú sabe' que no te creo
Mucho meno' en tu cama
Seguimo' envuelto' en la bellaquera, ey
Ey, la noche entera
Eso de enamorarse no e' pa' cualquiera
Dejé el corazón dentro 'e la nevera
Lo tengo frío, frío, sorry, pero en nadie confío
Tú sigue en lo tuyo y yo en lo mío
Buena' noche', fue un placer, ey
Pero no me va' a convencer (Come, on)
Yo no voy con labia, no
Tú sabía' la que había, baby
El romance no e' mi área, no
No me diga' que te enamoraste de mí
Yo no voy con labia, no
Tú sabía' (Tú sabía'), la que había, baby (Eh-eh)
El romance no e' mi área, no
No me diga' (No me diga'), que te enamoraste de mí (¿Qué?)

Y ahora me quieres cambiar
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (Tú ere' igual, bebé)
No te haga' la santa, el perreo te encanta
Y ahora me quiere' cambiar
Sabiendo cómo soy, tú sabe' lo que doy (Yo')
No te haga', tú ere' igual
No te haga' la santa, el perreo te encanta, eh

Mucho party, mucho money
Daddy Yankee, Bad Bunny
Mucho party, mucho money
Daddy Yankee, Bad Bunny18EmbedShare URLCopyEmbedCopy",https://genius.com/Bad-bunny-and-daddy-yankee-la-santa-lyrics,polka,bad
190,10449,Bing Crosby,Bing Crosby,I'll Be Home For Christmas,1,50,"I'll be home for Christmas
You can plan on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the love light gleams
I'll be home for Christmas
If only in my dreams
I'll be home for Christmas
You can plan on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the love light gleams
I'll be home for Christmas
If only in my dreamsEmbedShare URLCopyEmbedCopy",https://genius.com/Bing-crosby-ill-be-home-for-christmas-if-only-in-my-dreams-lyrics,screen,bing
192,10435,Bing Crosby & The Andrews Sisters,Bing Crosby,Mele Kalikimaka (Merry Christmas),1,36,"Mele Kalikimaka is the thing to say
On a bright Hawaiian Christmas Day
That's the island greeting that we send to you
From the land where palm trees sway
Here we know that Christmas will be green and bright
The sun to shine by day and all the stars at night
Mele Kalikimaka is Hawaii's way to say Merry Christmas to you

Mele Kalikimaka is the thing to say
On a bright Hawaiian Christmas day
That's the island greeting that we send to you
From the land where palm trees sway
Here we know that Christmas will be green and bright
The sun to shine by day and all the stars at night
Mele Kalikimaka is Hawaii's way to say Merry Christmas to you


Here we know that Christmas will be green and bright
The sun to shine by day and all the stars at night
Mele Kalikimaka is Hawaii's way to say Merry Christmas to you

Mele Kalikimaka is the thing to say
On a bright Hawaiian Christmas Day
That's the island greeting that we send to you
From the land where palm trees sway
Here we know that Christmas will be green and bright
The sun to shine by day and all the stars at night
Mele Kalikimaka is Hawaii's way to say Merry Christmas
A very Merry Christmas
A very, very, Merry, Merry Christmas to youEmbedShare URLCopyEmbedCopy",https://genius.com/Bing-crosby-and-the-andrews-sisters-mele-kalikimaka-lyrics,nan,bing
196,5178,Blake Shelton Duet With Gwen Stefani,Blake Shelton Duet With Gwen Stefani,Nobody But You,25,18,"Don't have to leave this town to see the world
'Cause it's something that I gotta do
I don't wanna look back in 30 years
And wonder who you're married to
Wanna say it now, wanna make it clear
For only you and God to hear
When you love someone, they say you set 'em free
But that ain't gonna work for me

I don't wanna live without you
I don't wanna even breathe
I don't wanna dream about you
Wanna wake up with you next to me
I don't wanna go down any other road now
I don't wanna love nobody but you
Lookin' in your eyes now, if I had to die now
I don't wanna love nobody but you
You

All the wasted days, all the wasted nights
I blame it all on being young
Got no regrets 'cause it got me here
But I don't wanna waste another one
I been thinkin' about what I want in my life
It begins and ends the same
If I had to choose what I couldn't lose
There'd only be one thing
I don't wanna live without you
I don't wanna even breathe
I don't wanna dream about you
Wanna wake up with you next to me
I don't wanna go down any other road now
I don't wanna love nobody but you
Lookin' in your eyes now, if I had to die now
I don't wanna love nobody but you
You
I don't wanna love nobody but you (You)

Wanna say it now, wanna make it clear
For only you and God to hear

I don't wanna live without you
I don't wanna even breathe
I don't wanna dream about you
Wanna wake up with you next to me (Next to me)
I don't wanna go down any other road now
I don't wanna love nobody but you (I don't wanna love nobody)
Lookin' in your eyes now, if I had to die now
I don't wanna love nobody but you
You
I don't wanna love nobody but you (You)
I don't wanna love nobody but youEmbedShare URLCopyEmbedCopy",https://genius.com/Blake-shelton-nobody-but-you-lyrics,spotify,blake
231,10194,Carrie Underwood,Carrie Underwood,Favorite Time Of Year,4,62,!Error!,,gerald,carrie
244,2408,Chris Brown Featuring Drake,Chris Brown,No Guidance,46,5,"Before I die I'm tryna fuck you, baby
Hopefully we don't have no babies
I don't even wanna go back home
Hopefully, I don't leave you on your own

Ayy
Trips that you plan for the next whole week
Bands too long for a nigga so cheap
And your flex OD, and your sex OD
You got it, girl, you got it (Ayy)
You got it, girl, you got (Yeah)
Pretty lil' thing, you got a bag and now you wildin'
You just took it off the lot, no mileage
Way they hittin' you, the DM lookin' violent
Talkin' wild, you come around and now they silent
Flew the coop at 17, no guidance
You be stayin' low but you know what the vibes is
Ain't never got you nowhere bein' modest
Poppin' shit but only 'cause you know you're poppin', yeah

You got it, girl, you got it (Ayy)
You got it, girl, you got it
Lil' baby in her bag, in her Birkin
No nine to five, put the work in
Flaws and all, I love 'em all, to me, you're perfect
Baby girl, you got it, girl, you got it, girl (Oh-oh)
You got it, girl, you got it, girl (Ooh)

I don't wanna play no games, play no games
Fuck around, give you my last name (Oh)
Know you tired of the same damn thing
That's okay 'cause, baby, you

You got it, girl, you got it (Oh, ooh, ayy)
You got it, girl, you got it (Got it)

You the only one I'm tryna make love to, pickin' and choosin'
They ain't really love you, runnin' games, usin'
All your stupid exes, they gon' call again
Tell 'em that a real nigga steppin' in
Don't let them niggas try you, test your patience
Tell 'em that it's over, ain't no debatin' (Uh)
All you need is me playin' on your playlist
You ain't gotta be frustrated
I don't wanna play no games, play no games (Oh)
Fuck around, give you my last name (My last name)
Know you tired of the same damn thing (Same damn thing)
That's okay 'cause, baby, you

You got it, girl, you got it (Oh, ooh, ayy)
You got it, girl, you got it (Got it)
I don't wanna

Before I die, I'm tryna fuck you, baby (Yeah)
Hopefully, we don't have no babies (Ooh)
I don't even wanna go back home
Hopefully, I don't leave you on your own
You got it, girl, you got it, oh

Play no games (No)
Freaky (Freaky)
I can learn a lot from you, gotta come teach me (Woo, woo)
You a lil' hot girl, you a lil' sweetie (No, sweet)
Sweet like Pearland, sweet like Peachtree (Like that)
I can tell you crazy, but shit kind of intrigue me (No, yeah, I like that)
(I don't wanna, I don't wanna)
Seen it on the 'gram, I'm tryna see that shit in 3D, mami
I know I get around 'cause I like to move freely
(I don't, I don't)
But you could lock it down, I could tell by how you treat me
(I don't, I don't)
I seen how you did homeboy, so please take it easy (No, yeah)
Good to have me on your side, I ain't sayin' that you need me (Yeah, yeah)
Six God talk but I ain't tryna get preachy (No, no, no)
I seen how you did homeboy, please take it easier on me
'Cause I don't wanna (No) play no games, play no games
(I don't wanna, I don't wanna)
I don't wanna play no games, play no games
(I don't, I don't)
I don't, I don't
No160EmbedShare URLCopyEmbedCopy",https://genius.com/Chris-brown-no-guidance-lyrics,devvon,chris
321,3477,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Diplo Presents Thomas Wesley,Heartless,21,39,"Heartless, heartless, heartless
So heartless, so heartless, so heartless

Say you're goin' out late
I count down 'til you call me
It's just one of those things
That you do when you're lonely
And you're all about the chase
But you won't ever let me catch you
And I wish I was the same
But I know I'm gonna let you
Win again and when I do
It's gonna hurt like hell
And you don't mean to
That's what I tell myself

But why you gotta be so heartless?
I know you think it's harmless
You're tearing me apart and
Girl, the hardest part is
You're so high on attention
Taking miles from inches
Leave me in the darkness
Never finish what we started
Girl, why you gotta be so heartless? (So heartless, so heartless)
Why you gotta be so heartless? (So heartless, so heartless)
Monday night was definitely not our night
Tuesday night was just another fight
Wednesday, I thought everything would change
Thursday came and it was still the same
Friday night, we went out on the town
Saturday, we should have burned it down
Sunday morning came and now you're gone
I should probably know this shit by now
Ah, oh (Ah, oh)
I should probably know this shit by now
But no (But no), no

Why you gotta be so heartless?
I know you think it's harmless
You're tearing me apart and
Girl, the hardest part is
You're so high on attention
Taking miles from inches
Leave me in the darkness
Never finish what we started
Girl, why you gotta be so heartless? (So heartless, so heartless)
Why you gotta be so heartless? (So heartless, so heartless)

Girl, why you gotta be so in between
Loving me and leaving, leaving?
Ah, oh (Ah, oh)
I should probably know this shit by now
But no (But no), no
Why you gotta be so heartless?
I know you think it's harmless
You're tearing me apart and
Girl, the hardest part is
You're so high on attention
Taking miles from inches
Leave me in the darkness
Never finish what we started
Girl, why you gotta be so heartless?  (Heartless, heartless)
Why you gotta be so heartless? (So heartless, so heartless)
Why you gotta be so heartless? (Heartless, heartless)
Girl, why you gotta be so heartless? (So heartless, so heartless)19EmbedShare URLCopyEmbedCopy",https://genius.com/Diplo-heartless-lyrics,nan,diplo
339,3259,Drake,Drake,How About Now,1,60,"That's the shit I'm talking 'bout though, like you changed up, you don't even fuckin' link nobody no more, you just dash me away like a cyattie. Yo, you cheesed me dog

Always felt like my vision been bigger than the bigger picture
Crazy how you gotta wait until it's dark out to see who really with you
Crazy how even when it miss you
Shit'll come back around and get you
Crazy like all my niggas, crazy like all my niggas
Remember I deleted all my other girls' numbers out the phone for you?
Remember when you had to take the bar exam
I drove in the snow for you? Yeah
You probably don't remember half the shit a nigga did for you, yeah

Yeah, you ain't really fuck with me way back then
But how 'bout now? (Now)
'Cause I'm up right now (I'm up right now)
And you stuck right now (Stuck right now)
Oh, you thought you had it all figured out back then
But how 'bout now? (Now)
'Cause I'm up right now (I'm up right now)
And you stuck right now, yeah (Stuck right now)
You thought the little effort that you put in was enough, girl
How 'bout now? Yeah
Girl, how 'bout now, how 'bout now, girl?
What about now, girl, how 'bout now?
My heart belongs to you...

Yeah, always been daddy's little angel
I bought your dad a bunch of shit for Christmas
He ain't even say thank you
I had no money left from actin', I was focused on the music
I used to always try and burn you CDs of my new shit
You be like ""who's this?"" I be like ""me, girl""
You be like ""oh, word, true shit?""
Then ask if we could listen to Ludacris
Them car rides made me feel like I was losin' it
Yeah, made me feel I ain't have it like that
Or I was average like that
Started drinkin' way more than I used to
People form habits like that, girl
Yeah, man enough to tell you I was hurt that year
I'm not even Christian, I still went to church that year
Guess I just had to pretend that year
I ain't even see my friends that year
Places that I should've been

Yeah, you ain't really fuck with me way back then
But how 'bout now? (Now)
'Cause I'm up right now (I'm up right now)
And you stuck right now (Stuck right now)
Oh, you thought you had it all figured out back then
Girl, how 'bout now? (Now)
'Cause I'm up right now (I'm up right now)
And you stuck right now, yeah (Stuck right now)
You thought the little effort that you put in was enough, girl
How 'bout now? Yeah
Girl, how 'bout now, how 'bout now, girl?
What about now, girl, how 'bout now?
My heart belongs to you
Whatever you need, there's nothin' I won't do
Whatever you need, there's nothin' I won't do
Whatever you need, there's nothin' I won't do
Whatever you need, there's nothin' I won't do1.4KEmbedShare URLCopyEmbedCopy",https://genius.com/Drake-how-bout-now-lyrics,triston,drake
374,2859,Ed Sheeran With Chris Stapleton & Bruno Mars,Ed Sheeran With Chris Stapleton,BLOW,2,60,"I'm feelin' like a bullet jumpin' out a gun
I'm feelin' like a winner, I feel like the one
You're doing somethin' to me, you're doing somethin' strange
Well, jump back, talk to me, woman
You make me wanna make a baby, baby, uh

Supernatural woman, supernatural freak
Don't know what you're doin', got me feelin' weak
Oh, I wanna call you fever, baby, you can set a fire on me
Hot damn, pop it like a pistol, mama
You got me down on my knees, begging please

I'm comin', baby
I'm gunnin' for you, yeah
Locked, loaded, shoot my shot tonight
I'm comin', baby
I'm gunnin' for you
Pull my trigger, let me blow your mind

You red leather rocket, you little foxy queen
Everybody's watching, pretty little thing
Baby, tell me, what's your fantasy?
Come closer, let's talk about it
You want white lines in a limousine
Whipped cream, and everything in between, yeah
I'm comin', baby
I'm gunnin' for you, yeah
Locked, loaded, shoot my shot tonight
I'm comin', baby
I'm gunnin' for you
Pull my trigger, let me blow your mind
I'm comin', baby


I'm comin', baby
I'm gunnin' for you, yeah
Locked, loaded, shoot my shot tonight
I'm comin', baby
I'm gunnin' for you
Pull my trigger, let me blow your mind13EmbedShare URLCopyEmbedCopy",https://genius.com/Ed-sheeran-chris-stapleton-and-bruno-mars-blow-lyrics,spotify,ed
