,Unnamed: 0,id,artist,first_artist,song,weeks_on_chart,peak_rank,lyrics,length,word_count,language,language_score,link
0,76,724,Ariana Grande,Ariana Grande,Ghostin,2,25,"I know you hear me when I cry I try to hold it in at night While you're sleeping next to me But it's your arms that I need this time (This time) Look at the cards that we've been dealt If you were anybody else Probably wouldn't last a day Every tear's a rain parade from hell (From hell)  Baby, you do it so well You've been so understanding, you've been so good And I'm puttin' you through more than one ever should And I'm hating myself 'cause you don't want to Admit that it hurts you  I know that it breaks your heart when I cry again Over him, mmh I know that it breaks your heart when I cry again 'Stead of ghostin' him  We'll get through this, we'll get past this, I'm a girl with A whole lot of baggage But I love you, we'll get past this, I'm a girl with A whole lot of baggage, oh yeah Though I wish he were here instead Don't want that living in your head He just comes to visit me When I'm dreaming every now and then (And then) And after all that we been through (And after all that we been through) There's so much to look forward to What was done and what was said Leave it all here in this bed with you (With you)  Baby, you do it so well You've been so understanding, you've been so good And I'm puttin' you through more than one ever should And I'm hating myself 'cause you don't want to Admit that it hurts you, baby  I know that it breaks your heart when I cry again Over him, mmh I know that it breaks your heart when I cry again 'Stead of ghostin' him  We'll get through this, we'll get past this, I'm a girl with (Girl with) A whole lot of baggage But I love you (Love you), we'll get past this (Past this) I'm a girl with a whole lot of baggage, yeah yeah186EmbedShare URLCopyEmbedCopy",7,1,de,0.9999959939395697,https://genius.com/Ariana-grande-ghostin-lyrics
1,91,0,Ariana Grande,Ariana Grande,"Thank U, Next",28,1,"Thought I'd end up with Sean But he wasn't a match Wrote some songs about Ricky Now I listen and laugh Even almost got married And for Pete, I'm so thankful Wish I could say, ""Thank you"" to Malcolm 'Cause he was an angel  One taught me love One taught me patience And one taught me pain Now, I'm so amazing Say I've loved and I've lost But that's not what I see So, look what I got Look what you taught me And for that, I say  Thank you, next (Next) Thank you, next (Next) Thank you, next I'm so fuckin' grateful for my ex Thank you, next (Next) Thank you, next (Next) Thank you, next (Next) I'm so fuckin'— Spend more time with my friends I ain't worried 'bout nothin' Plus, I met someone else We havin' better discussions I know they say I move on too fast But this one gon' last 'Cause her name is Ari And I'm so good with that (So good with that)  She taught me love (Love) She taught me patience (Patience) How she handles pain (Pain) That shit's amazing (Yeah, she's amazing) I've loved and I've lost (Yeah, yeah) But that's not what I see (Yeah, yeah) 'Cause look what I've found (Yeah, yeah) Ain't no need for searching, and for that, I say  Thank you, next (Thank you, next) Thank you, next (Thank you, next) Thank you, next (Thank you) I'm so fuckin' grateful for my ex Thank you, next (Thank you, next) Thank you, next (Said thank you, next) Thank you, next (Next) I'm so fuckin' grateful for my ex Thank you, next Thank you, next Thank you, next I'm so fuckin'—  One day I'll walk down the aisle Holding hands with my mama I'll be thanking my dad 'Cause she grew from the drama Only wanna do it once, real bad Gon' make that shit last God forbid something happens Least this song is a smash (Song is a smash)  I've got so much love (Love) Got so much patience (Patience) And I've learned from the pain (Pain) I turned out amazing (Turned out amazing) Say I've loved and I've lost (Yeah, yeah) But that's not what I see (Yeah, yeah) 'Cause look what I've found (Yeah, yeah) Ain't no need for searching And for that, I say Thank you, next (Thank you, next) Thank you, next (Thank you, next) Thank you, next I'm so fuckin' grateful for my ex Thank you, next (Thank you, next) Thank you, next (Said thank you, next) Thank you, next (Next) I'm so fuckin' grateful for my ex  Thank you, next Thank you, next Thank you, next Yeah, yee Thank you, next Thank you, next Thank you, next Yeah, yee490EmbedShare URLCopyEmbedCopy",7,1,de,0.8571395337281567,https://genius.com/Ariana-grande-thank-u-next-lyrics
2,153,6252,Bad Bunny X Daddy Yankee,Bad Bunny,La Santa,2,53,!Error!,7,1,de,0.9999949780682945,
3,182,198,Billie Eilish,Billie Eilish,Ocean Eyes,20,84,"I've been watchin' you for some time Can't stop starin' at those ocean eyes Burning cities and napalm skies Fifteen flares inside those ocean eyes Your ocean eyes  No fair You really know how to make me cry When you give me those ocean eyes I'm scared I've never fallen from quite this high Fallin' into your ocean eyes Those ocean eyes  I've been walkin' through a world gone blind Can't stop thinkin' of your diamond mind Careful creature made friends with time He left her lonely with a diamond mind And those ocean eyes  No fair (No fair) You really know how to make me cry When you give me those ocean eyes (Those ocean eyes) I'm scared (I'm scared) I've never fallen from quite this high Fallin' into your ocean eyes Those ocean eyes (Seye naeco esoht) (Seye naeco ruoy otni 'nillaf) Da-da-da-da-da, da-da-da-da-da (Hgih siht etiuq morf nellaf reven ev'I) (Deracs m'I) Da-da-da-da-da-da Da-da-da (Seye naeco esoht em evig uoy nehw) Mmm (Yrc em ekam ot woh wonk yllaer uoy) Mmm (Riaf on)  No fair You really know how to make me cry When you give me those ocean eyes I'm scared I've never fallen from quite this high Fallin' into your ocean eyes Those ocean eyes200EmbedShare URLCopyEmbedCopy",7,1,de,0.9999940222751995,https://genius.com/Billie-eilish-ocean-eyes-lyrics
4,192,10435,Bing Crosby & The Andrews Sisters,Bing Crosby,Mele Kalikimaka (Merry Christmas),1,36,"Mele Kalikimaka is the thing to say On a bright Hawaiian Christmas Day That's the island greeting that we send to you From the land where palm trees sway Here we know that Christmas will be green and bright The sun to shine by day and all the stars at night Mele Kalikimaka is Hawaii's way to say Merry Christmas to you  Mele Kalikimaka is the thing to say On a bright Hawaiian Christmas day That's the island greeting that we send to you From the land where palm trees sway Here we know that Christmas will be green and bright The sun to shine by day and all the stars at night Mele Kalikimaka is Hawaii's way to say Merry Christmas to you   Here we know that Christmas will be green and bright The sun to shine by day and all the stars at night Mele Kalikimaka is Hawaii's way to say Merry Christmas to you  Mele Kalikimaka is the thing to say On a bright Hawaiian Christmas Day That's the island greeting that we send to you From the land where palm trees sway Here we know that Christmas will be green and bright The sun to shine by day and all the stars at night Mele Kalikimaka is Hawaii's way to say Merry Christmas A very Merry Christmas A very, very, Merry, Merry Christmas to youEmbedShare URLCopyEmbedCopy",8,1,tl,0.9999950004134548,https://genius.com/Bing-crosby-and-the-andrews-sisters-mele-kalikimaka-lyrics
5,244,2408,Chris Brown Featuring Drake,Chris Brown,No Guidance,46,5,"Before I die I'm tryna fuck you, baby Hopefully we don't have no babies I don't even wanna go back home Hopefully, I don't leave you on your own  Ayy Trips that you plan for the next whole week Bands too long for a nigga so cheap And your flex OD, and your sex OD You got it, girl, you got it (Ayy) You got it, girl, you got (Yeah) Pretty lil' thing, you got a bag and now you wildin' You just took it off the lot, no mileage Way they hittin' you, the DM lookin' violent Talkin' wild, you come around and now they silent Flew the coop at 17, no guidance You be stayin' low but you know what the vibes is Ain't never got you nowhere bein' modest Poppin' shit but only 'cause you know you're poppin', yeah  You got it, girl, you got it (Ayy) You got it, girl, you got it Lil' baby in her bag, in her Birkin No nine to five, put the work in Flaws and all, I love 'em all, to me, you're perfect Baby girl, you got it, girl, you got it, girl (Oh-oh) You got it, girl, you got it, girl (Ooh)  I don't wanna play no games, play no games Fuck around, give you my last name (Oh) Know you tired of the same damn thing That's okay 'cause, baby, you  You got it, girl, you got it (Oh, ooh, ayy) You got it, girl, you got it (Got it)  You the only one I'm tryna make love to, pickin' and choosin' They ain't really love you, runnin' games, usin' All your stupid exes, they gon' call again Tell 'em that a real nigga steppin' in Don't let them niggas try you, test your patience Tell 'em that it's over, ain't no debatin' (Uh) All you need is me playin' on your playlist You ain't gotta be frustrated I don't wanna play no games, play no games (Oh) Fuck around, give you my last name (My last name) Know you tired of the same damn thing (Same damn thing) That's okay 'cause, baby, you  You got it, girl, you got it (Oh, ooh, ayy) You got it, girl, you got it (Got it) I don't wanna  Before I die, I'm tryna fuck you, baby (Yeah) Hopefully, we don't have no babies (Ooh) I don't even wanna go back home Hopefully, I don't leave you on your own You got it, girl, you got it, oh  Play no games (No) Freaky (Freaky) I can learn a lot from you, gotta come teach me (Woo, woo) You a lil' hot girl, you a lil' sweetie (No, sweet) Sweet like Pearland, sweet like Peachtree (Like that) I can tell you crazy, but shit kind of intrigue me (No, yeah, I like that) (I don't wanna, I don't wanna) Seen it on the 'gram, I'm tryna see that shit in 3D, mami I know I get around 'cause I like to move freely (I don't, I don't) But you could lock it down, I could tell by how you treat me (I don't, I don't) I seen how you did homeboy, so please take it easy (No, yeah) Good to have me on your side, I ain't sayin' that you need me (Yeah, yeah) Six God talk but I ain't tryna get preachy (No, no, no) I seen how you did homeboy, please take it easier on me 'Cause I don't wanna (No) play no games, play no games (I don't wanna, I don't wanna) I don't wanna play no games, play no games (I don't, I don't) I don't, I don't No160EmbedShare URLCopyEmbedCopy",7,1,de,0.8571390962179931,https://genius.com/Chris-brown-no-guidance-lyrics
6,263,2118,DJ Khaled Featuring Cardi B & 21 Savage,DJ Khaled,Wish Wish,15,19,"(Tay Keith, fuck these niggas up) Cardi, Cardi bops Cardi, Cardi sendin' shots We The Best music Cardi, from the block Cardi, with the Glock Cardi, yeah Cardi, yeah Another one Cardi, yeah, yeah, yeah DJ Khaled  They say my time is almost up, tell them bitches, ""Wish, wish"" All these hoes lookin' cold, all these bitches fish sticks Put a ribbon on my box 'cause this pussy gifted I ain't got no free time, all my shit expensive See my ring, my watch, my chain and everything is lit, lit (Ice) All this gold on a bitch, I feel like I'm Slick Rick If they love me or they hate me, it don't make no difference (Cardi) It be hard not to kill a ho 'cause I be tempted  Now I be countin' money, buyin' jewelry, hoes be ridin' dick (Dick) I just make my M's and mind my business, hoes be ridin' dick (Dick) ""I can see Cardi eat so much,"" and that's what got 'em sick But I wonder how they still ain't pregnant, all that riding dick Y'all betta go ahead with that weak shit, I'm certified, real street bitch Won't be a song if I leak shit, we strapped up like defense Whatever you do, sis, keep it cute, sis Leave that beefin' shit at Ruth Chris or end up toothless I've been official my whole life, I bought burners, I ain't buy likes (Brr) How did little ol' me get money? Got everybody all tight These bitches wack, these bitches garb (Garb), they diss me, I disregard Bet you if I had a dick, these bitches couldn't get it hard They say my time is almost up, tell them bitches, ""Wish, wish"" (Wish) All these hoes lookin' cold, all these bitches fish sticks Put a ribbon on my box 'cause this pussy gifted I ain't got no free time, all my shit expensive See my ring, my watch, my chain and everything is lit, lit (Ice) All this gold on a bitch, I feel like I'm Slick Rick If they love me or they hate me, it don't make no difference (Cardi) It be hard not to kill a ho 'cause I be tempted (Blaow)  Bought a Richard Mille, coulda bought me a house (No joke) Feel like I'm the greatest rapper came out the South (Who want smoke?) She keep tryin' to fuck, I told her top me for now (On God) She got ass shots, told her work on her mouth (Straight up) Everybody talkin' this king talk, nigga we shootin' shit up, we don't battle (Bitch) Cornball nigga, you ain't gettin' no money and we don't give a fuck about your talents (Snitch) Came from the bottom, I'm a multimillionaire, I was just sleeping on pallets (21) Fuck these rappers, I'm 4L gang, we the best like DJ Khaled (Straight up) Your bitch got that crazy head like a Kanye tweet (21) Had a wedding for my Glocks, call 'em Jay and Bey (21) I split the rent with my chopper 'cause it stay with me (On God) Leave you drunk like a shot of liquor, ain't no chasin' me (On God) He threw in a white flag, but I still want beef (Stupid) Catch you at your album release you play with Cardi B (Shoot it) Make this pistol blow both ways, I call it Hennessy (Pow!) I know your mama taught you look both ways 'fore crossing me (Lil' bitch) They say my time is almost up, tell them bitches, ""Wish, wish"" All these hoes lookin' cold, all these bitches fish sticks Put a ribbon on my box 'cause this pussy gifted I ain't got no free time, all my shit expensive See my ring, my watch, my chain and everything is lit, lit (Ice) All this gold on a bitch, I feel like I'm Slick Rick If they love me or they hate me, it don't make no difference (Cardi) It be hard not to kill a ho 'cause I be tempted (Blaow)  We The Best music (What's that on your wrist?) (I call it a chandelier) Another one15EmbedShare URLCopyEmbedCopy",7,1,de,0.7142823118247438,https://genius.com/Dj-khaled-wish-wish-lyrics
7,321,3477,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Diplo Presents Thomas Wesley,Heartless,21,39,"Heartless, heartless, heartless So heartless, so heartless, so heartless  Say you're goin' out late I count down 'til you call me It's just one of those things That you do when you're lonely And you're all about the chase But you won't ever let me catch you And I wish I was the same But I know I'm gonna let you Win again and when I do It's gonna hurt like hell And you don't mean to That's what I tell myself  But why you gotta be so heartless? I know you think it's harmless You're tearing me apart and Girl, the hardest part is You're so high on attention Taking miles from inches Leave me in the darkness Never finish what we started Girl, why you gotta be so heartless? (So heartless, so heartless) Why you gotta be so heartless? (So heartless, so heartless) Monday night was definitely not our night Tuesday night was just another fight Wednesday, I thought everything would change Thursday came and it was still the same Friday night, we went out on the town Saturday, we should have burned it down Sunday morning came and now you're gone I should probably know this shit by now Ah, oh (Ah, oh) I should probably know this shit by now But no (But no), no  Why you gotta be so heartless? I know you think it's harmless You're tearing me apart and Girl, the hardest part is You're so high on attention Taking miles from inches Leave me in the darkness Never finish what we started Girl, why you gotta be so heartless? (So heartless, so heartless) Why you gotta be so heartless? (So heartless, so heartless)  Girl, why you gotta be so in between Loving me and leaving, leaving? Ah, oh (Ah, oh) I should probably know this shit by now But no (But no), no Why you gotta be so heartless? I know you think it's harmless You're tearing me apart and Girl, the hardest part is You're so high on attention Taking miles from inches Leave me in the darkness Never finish what we started Girl, why you gotta be so heartless?  (Heartless, heartless) Why you gotta be so heartless? (So heartless, so heartless) Why you gotta be so heartless? (Heartless, heartless) Girl, why you gotta be so heartless? (So heartless, so heartless)19EmbedShare URLCopyEmbedCopy",8,1,tl,0.999993497615254,https://genius.com/Diplo-heartless-lyrics
8,353,8601,Drake Featuring Lil Durk,Drake,Laugh Now Cry Later,19,2,"Woah, woah Yeah  Sometimes we laugh and sometimes we cry, but I guess you know now, baby I took a half and she took the whole thing, slow down, baby We took a trip, now we on your block and it's like a ghost town, baby Where do these niggas be at when they say they doin' all this and all that?  Tired of beefin' you bums, you can't even pay me enough to react Been wakin' up in the crib and sometimes I don't even know where I'm at Please don't play that nigga songs in this party, I can't even listen to that Anytime that I ran into somebody, it must be a victory lap, ayy Shawty, come sit on my lap, ayy, they sayin' Drizzy just snap Distance between us is not like a store, this isn't a closeable gap, ayy I've seen some niggas attack and don't end up makin' it back  I know that they at the crib goin' crazy, down bad What they had didn't last, damn, baby  Sometimes we laugh and sometimes we cry, but I guess you know now, baby I took a half and she took the whole thing, slow down, baby We took a trip, now we on your block and it's like a ghost town, baby Where do these niggas be at when they say they doin' all this and all that? I'm in the trenches, relax Can you not play that lil' boy in the club? 'Cause we do not listen to rats We in Atlanta, I buy her a wig, she tellin' me Tae is the best Point at the nigga who act like a killer, but you only one from the 'net I'm like DaBaby, I'm not just a rapper, you play with me, you gon' get stretched Ooh-oh Bring Drake to the hood, surround Drake around Dracs Even though I got a case, I'ma do what it take And I never been embraced And the money's hard to make So I bet they on they face right now  I know that they at the crib goin' crazy, down bad What they had didn't last, damn, baby  Sometimes we laugh and sometimes we cry, but I guess you know now, baby I took a half and she took the whole thing, slow down, baby We took a trip, now we on your block and it's like a ghost town, baby Where do these niggas be at when they say they doin' all this and all that?  When he tell the story, that's not how it went Know they be lyin', a hundred percent Moved out the Ritz and forgot 'bout the Bent' Valet just called me to tell me come get it Knocked that boy off and I don't want no credit If it was me, they wouldn't regret it Left me for dead and now they wan' dead it, yeah Heart is still beatin', my niggas still eatin' Backyard, it look like the Garden of Eden Pillow talk with 'em, she spillin' the tea And then shawty came back and said she didn't mean it It's hard to believe it I know that they at the crib goin' crazy, down bad What they had didn't last, damn, baby  Sometimes we laugh and sometimes we cry, but I guess you know now, baby I took a half and she took the whole thing, slow down, baby We took a trip, now we on your block and it's like a ghost town, baby Where do these niggas be at when they say they doin' all this and all that?79EmbedShare URLCopyEmbedCopy",7,1,de,0.9999973248625564,https://genius.com/Drake-laugh-now-cry-later-lyrics
9,506,8299,J. Cole,J. Cole,the.climb.back,2,52,"Are you doin' this work to facilitate growth or to become famous? Which is more important? Getting or letting go? You can do anything, anything you can do (You can do anything) You can do anything, anything you can do (You can do anything)  Everything come back around full circle Why do lies sound pleasant, but the truth hurtful? Everybody gotta cry once in a while But how long will it take 'fore you smile? This is that come-back-to-life shit My niggas pick me up and we gon' light the city up as if the sun had the night shift And paint the town red for my nigga found dead too soon (Bitch, I'm back out...)  Yeah To the left of that decimal, I need seven figures to play the joint Turn up your decibels, peep how I decimate a joint Check out my projects like them workers that Section 8 appoints And you'll see how I flipped like exclamation points My niggas shoot first as if they never played the point, more two guards Enough straps to fill four U-Hauls More death than World War II caused Around these parts we pour the brown just to drown these thoughts Of black corpses in county morgues, Lord, those images hauntin' I ain't been asleep yet, it's ten in the mornin' I'm sendin' a warnin', a problem with me is like the BET Hip-Hop Awards I'm startin' to see you niggas don't want it I'm sick of this flauntin', from niggas I know for sure ain't got mo' dough than Cole Trash rappers, ass backwards, tryna go toe-to-toe We laugh at ya, staff strapped up on top the totem pole to blast at ya Bassmasters, look how they tote a pole Gotta know the ropes and the protocol Or they gon' for sure blow your clothes half off like a promo code Made a lil' tune called ""Foldin Clothes,"" and a nigga still ain't known to fold under pressure Well, you know what Cole do Make a diamond, they just rhymin', me, I'm quotin' gold One phone call get you canceled like a homophobe in this PC culture Address me as the G.O.A.T. like they call Chief Keef Sosa In my sectional like a fuckin' three-piece sofa I'm known as the chosen one Another dead body lay frozen, that's how it go sometimes When niggas weighin' coke and not the pros and cons Well, I ain't with that sleepin' underground like a gopher, so I go for mines Everything come back around full circle (Nigga, gotta go for mines) Why do lies sound pleasant, but the truth hurtful? (Yeah) Everybody gotta cry once in a while But how long will it take 'fore you smile? This is that come-back-to-life shit My niggas pick me up and we gon' light the city up as if the sun had the night shift And paint the town red for my nigga found dead too soon Now I know why they call it blue moon (Yeah)  Survival at all costs, every day, niggas get logged off Bodies get hauled off Passin' a funeral procession while holdin' my breath in the car, I thought At times, it be feelin' the devil be winnin' but do that mean God lost? Just got off the phone with my nigga, he back in the kennel, my dog lost I brought him 'round close to me before but he Became addicted to clout and all the hoes we'd meet I slowly peeped jealousy on his breath whenever he spoke to me Like on the low, he feelin' that in my shoes is where he supposed to be I tried to ignore the signs, but they're in the back of my mind It felt like lettin' a nigga come sleep on your couch and he eatin' up all yo' groceries My nigga repeated this quote to me, I felt its potency Said, ""Most of these niggas gon' hang themselves, just give 'em the rope and see"" Shit, I heeded that, and what got showed to me Was screamin' that, some niggas, you gotta leave 'em back Unfortunately we seen the trap Niggas be on that demon clock resultantly They fiend to clap as often as the Genius app misquotin' me, uh Meanwhile, I see that yo' diamonds is glistenin' I'm glad that you shinin', but need I remind you my niggas is dimin' and nickelin'? Scrapin' up whatever coin they can find, the pettiest crime, they committin' it Just to get by for a limited time, the steepest of mountains, they tryin' to climb I'm here tryna find the derivative, you niggas don't feel me You see the clout, you don't see the real me If I was sick, you niggas wouldn't heal me Therefore I'm healin' myself, gettin' in tune with my God Slowly revealin' myself, buildin' my wealth A nigga touch mine, I'ma kill 'em myself, trust me Everything come back around full circle Why do lies sound pleasant, but the truth hurtful? Everybody gotta cry once in a while But how long will it take 'fore you smile? This is that come-back-to-life shit My niggas pick me up and we gon' light the city up as if the sun had the night shift And paint the town red for my nigga found dead too soon Now I know why they call it blue moon (Yeah)  Bitch, I'm back outside, nigga I'm back outside I'm back outside I'm back outside Everybody mentions suicide prevention Man, they even made a hotline To call up when there's tension, but I got a question What about a fuckin' homicide? Need a number for my niggas to call Whenever there's a urge to get triggers involved Need a number for my niggas to call Whenever there's a urge to get triggers involved211EmbedShare URLCopyEmbedCopy",8,1,tl,0.9999945563002929,https://genius.com/J-cole-t-h-e-c-l-i-m-b-b-a-c-k-lyrics
