,billboard_id,lyrics_id,artist,song,genius_id,lyrics,url,first_appearance,release_date,sentiment_polarity,sentiment_subjectivity
0,6822,850,twenty one pilots,Level Of Concern,5428841,"Need you, tell me
Need you, tell me

Panic on the brain, world has gone insane
Things are starting to get heavy, mm
I can't help but think I haven't felt this way
Since I asked you to go steady

Wonderin' would you be my little quarantine?
Or is this the way it ends?

'Cause I told you my level of concern
But you walked by like you never heard
And you could bring down my level of concern
Just need you to tell me we're alright, tell me we're okay

Panic on the brain, Michael's gone insane
Julie starts to make me nervous
I don't really care what they would say
I'm asking you to stay
In my bunker underneath the surface
Wonderin' would you be (Would you be)
My little quarantine? (Quarantine)
Or is this the way it ends?

'Cause I told you my level of concern
But you walked by like you never heard
And you could bring down my level of concern
Just need you to tell me we're alright, tell me we're okay, yeah

Tell me we're alright, tell me we're okay, yeah
Tell me we're alright, tell me we're okay
Bring down my level of concern
Just need you to tell me we're alright, tell me we're okay, yeah

'Cause I told you my level of concern
But you walked by like you never heard
You could bring down my level of concern
Just need you to tell me we're alright, tell me we're okay
I need you to tell me we're alright, tell me we're okay
Need you to tell me we're alright, tell me we're okay
I need you to tell me we're alright, tell me we're okay
Need you to tell me we're alright, tell me we're okay
Need you now
I need you now
'Cause I told you my level of concern
But you walked by like you never heard
And you could bring down my level of concern
Just need you to tell me we're alright, tell me we're okay, yeah

Tell me we're alright, tell me we're okay, yeah
Tell me we're alright, tell me we're okay
You could bring down my level of concern
Just need you to tell me we're alright, tell me we're okay, yeah

In a world where you could just lie to me (Need you)
And I'd be okay, we'll be okay (Level of concern)
We're gonna be okay (Just need you to tell me we're alright)
Tell me we're okay, I need you
Need you, tell me
Need you, tell me",https://genius.com/Twenty-one-pilots-level-of-concern-lyrics,2020-04-25,2020-04-09,0.18307291666666667,0.4697916666666667
1,6916,862,DaBaby Featuring YoungBoy Never Broke Again,Jump,5465136,"(Cha-ching)
Okay, let's go, nigga
(Rocco did it again)
Wait a minute, who are you? (Ayy, yo, K.i.D.)

I make it jump like, like crack in the '80s
Baby, these bitch ass niggas ain't crazy
Broke ass, ASCAP go straight to my baby
(Hold on, Lil Top, talk to 'em, nigga)
And I'll make my bitch talk to me when we fuckin' (Talk back)
Big rocks on my wrist, I bust it (Bling)
Big Glock on my hip, I'm clutchin' (Let's go)
Get lost on a bitch, ain't nothin'

She say I look good, bitch, I been doin' pushups
Play with Baby and Top, nigga, good luck
My lil' daughter two, but got six figures put up
Knock his head off his neck 'fore he look up
Ten toes in they chest for a check, bitch, I stood up (What that mean?)
I stood up on they neck for a check (Uh-huh)
Now my head get 'em stressed, I'm a vet
I get 300K for a show, bitch, I'm blessed
Go to trippin' and buckin', them hoes get down
I spray it, I don't go no handles (Bah, baow)
We be pullin' up back to back, play, we gon' handle that
I'ma walk in with Three and Montana
Go to buckin', won't wait for to touch him
He start it, you know he gon' get his shit canceled (Cancel his ass)
Put that stick to your face, screamin' out 4KTrey
From the north of Baton Rouge to Atlanta
Talk out his top, put them bands on him, bitch (The fuck?)
I be runnin' my city, the police don't like it
They know we be steppin' on shit (Steppin' on shit)
Put that blick on your brother, you feelin' some way
Make him hot, tell him dig up the bitch (Dig up the bitch)
Shoot two hundred, bet one, how you livin', lil' nigga?
You know I be havin' this shit (Stupid lil' nigga)
Paranoid every day, I be feelin' some way
When you bring up the static and shit

Switch the channel, we fixin' that static (Let's switch)
Give a nigga a clip, he can have it
Get to hittin' so quick, they think it's automatic (Boom, boom, let's go)
Nigga gon' try to hide in the house
Get his ass to come out, hit his bitch ass in traffic (Like boom)
Made a song in ten minutes, went platinum
Know we still with the shits, send a hit, we get active (Yeah)
Mention YB and Baby, the game in the padlock (Yeah)
My lil' bitch got that ass with no waist, pretty face
A six-pack, niggas think she got ass shots
I hit her from the back 'til we pass out (Uh-huh)
I Kurt Angle that ho, put her leg in the air, ankle lock
Hold that bitch 'til she tap out (Bitch)
Be one deep on your street with that strap out (One deep)
Fuck a rapper, let's see what that rack 'bout
Got a brand new pistol, nigga
I make it jump like, like crack in the '80s
Baby, these bitch ass niggas ain't crazy
Broke ass, ASCAP go straight to my baby
(Hold on, Lil Top, talk to 'em, nigga)
And I'll make my bitch talk to me when we fuckin' (Talk back)
Big rocks on my wrist, I bust it (Bling)
Big Glock on my hip, I'm clutchin' (Let's go)
Get lost on a bitch, ain't nothin'

Mic check, one-two, check one, stretch two
When it come to murder, you know how we do
When I walk in this bitch, keep your hands to yourself
It go down, shoot it up, spin again in a coupe (Bang, bang)
When you come to my house, you see everything new
You probably'll find a strap in every room
I went bought me a Rollie on top of this Patek
But, bitch, it ain't on, I'ma jump out with two
Shorty say she on me, yeah
We be on her ass soon as I walk in the room
Nigga don't know me, yeah, we be on his ass
Stalk him all through the day to the moon
Street nigga, I don't never pick and choose
I be totin' on somethin' make all them bitch niggas move (Pussy)
Soon as we run down, we gon' dirt him
You know it ain't certain, we never be leavin' no clues, nigga
Hold on, I'm Lil Top, nigga, believe that

I make it jump like, like crack in the '80s
Baby, these bitch ass niggas ain't crazy
Broke ass, ASCAP go straight to my baby
(Hold on, Lil Top, talk to 'em, nigga)
And I'll make my bitch talk to me when we fuckin' (Talk back)
Big rocks on my wrist, I bust it (Bling)
Big Glock on my hip, I'm clutchin' (Let's go)
Get lost on a bitch, ain't nothin'

I make it jump like I'm Giannis (Just honest)
Tryna see how it feel from behind her (Let's go)
Know that lil' bitch ain't shit, don't deserve to suck dick
Make that bitch give me head with a condom (Uh-huh)
Wanna gamble and crap out, let's get it
We put racks on his motherfuckin' cap like a fitted (No cap)
Baby pull up 2020, hop out like it's nothin'
That lil' nigga stuntin', he shittin' (Vroom)
I get high by myself in the skybox (Yeah)
I came out the house, two F&N's for the day (Two)
Why you bring 'em both out? Nigga, why not? (Why?)
Let 'em go like a pro, let 'em try now (Let's try)
I can't go like a ho, I'ma bond out (Bitch)
Send my bro, up the score, let 'em find out (Up)
Pick my boo up from school and we sign out (Mwah)
Any ho that get rude gettin' timeout, talk to 'em, nigga

I make it jump like, like crack in the '80s
Baby, these bitch ass niggas ain't crazy
Broke ass, ASCAP go straight to my baby
(Hold on, Lil Top, talk to 'em, nigga)
And I'll make my bitch talk to me when we fuckin' (Talk back)
Big rocks on my wrist, I bust it (Bling)
Big Glock on my hip, I'm clutchin' (Let's go)
Get lost on a bitch, ain't nothin', bitch

Blame it on Baby, nigga, yeah
Blame it on motherfuckin' Baby, nigga, blame it on Baby, nigga
Blame it on Baby
Yeah, let's go",https://genius.com/Dababy-jump-lyrics,2020-05-02,2020-04-17,0.02678555030827759,0.4731013052603961
2,6952,867,DaBaby Featuring Future & jetsonmade,LIGHTSKIN SHIT,5465365,"Uh, uh, uh-huh
Yeah (Oh Lord, Jetson made another one)

My bitch like a model
Where the genie? She shaped like a bottle
Fuck a IG, she too fine to follow
Powerball, bitch, I just hit the Lotto (Cha-ching)
Tylenol, she too sick, call a doctor (Sick)
Fuck a pill, where that pussy? I'll pop it (I'll pop)
I'm a dog, I'ma shit on my last ho
All the pretty bitches need a asshole, let's go

Lightskin shit
She fuck with me, she turn into a lightskin bitch (Uh, haa)
Family in our business on some hype man shit
She ain't respondin' to my text, she on some lightskin shit, I don't like that shit
Pull up with a new ho (Let's go, skrrt)
Wrecked my four-door, I went bought a two-door (Yeah)
When you out, we on liquor and Nuvo (Huh)
I'ma dog on the bitch, call me Cujo (Grrr, bitch, yeah)
I went, ran the score up (Uh)
Put my dick down her throat 'til she throw up (Throw up)
Hard to hide out in public, they know us
Picture's viral before the shit go up (Pic)
Fuck is a pic to a rich nigga? (Nigga)
I'm havin' my way with your bitch
The same bitch that was havin' her way with a bitch nigga (Hahaha)
Niggas goin' out sad 'bout these hoes, but me? Um
My bitch like a model
Where the genie? She shaped like a bottle
Fuck a IG, she too fine to follow
Powerball, bitch, I just hit the Lotto (Cha-ching)
Tylenol, she too sick, call a doctor (Sick)
Fuck a pill, where that pussy? I'll pop it (I'll pop)
I'm a dog, I'ma shit on my last ho
All the pretty bitches need a asshole, let's go

My bitch in the trap with a mask on (Yeah)
I just flipped two dimes in the restroom (Let's go)
Had the magazine tucked like a super goon (Baby)
Had to sweep the drug money with the broom (Woo)
Might cop the Chanel in the back-back (We did it)
I can buy the bales with the money in the backpack, yeah (We got it)
And Rolex, yeah
Almost went to Hell, that's a big fact (Pluto)
I done cut up the wrist on my sleeve (I cut it)
Like I'm suicidal on the jet (Let's go)
I done turnt your favorite to a pet (Turn up)
Check the hunnid milli' presidents, it's hard to fall off, I'm super relevant (I'm super)
On the billi dollar, killed the middle man tryna treat me like I'm not the trigger man (Baby)
Got a real one and she reppin' Taliban, gang (Yeah)
My bitch like a model
Where the genie? She shaped like a bottle
Fuck a IG, she too fine to follow
Powerball, bitch, I just hit the Lotto (Cha-ching)
Tylenol, she too sick, call a doctor (Sick)
Fuck a pill, where that pussy? I'll pop it (I'll pop)
I'm a dog, I'ma shit on my last ho
All the pretty bitches need a asshole, let's go",https://genius.com/Dababy-lightskin-shit-lyrics,2020-05-02,2020-04-17,-0.12826479076479083,0.60622582972583
3,6963,870,DaBaby,BLAME IT ON BABY,5462131,"I'm like fuck it, let the beat build, nigga
I do my own thing, ain’t worry 'bout how he feel nigga, let's go
Special ed, yeah, I’m a re-re nigga
Can I get a re? (Ahem) Yeah, a refill, nigga
Ya favorite rapper say he fuckin' with Baby, somebody lied
Play with ya kids, 'cause the last nigga played me, somebody died (Yeah, yeah)
Playin' both sides, go play the victim, oh, now they cryin'
I water park when I slip in my baby, she let me slide
Chocolate-ass nigga (Yeah), real nigga rockstar
Platinum sellin' popstar, poppin'-ass nigga (Pop)
My bitch is like a Barbie, woo like I'm Pop Smoke
I lift up one leg when she drop that ass, nigga (Drop)
Shade Room, baby (Shade), shade who?
Everybody blame you, you ballin’ like you Babe Ruth, baby (Huh)
Blame it on Baby, I let the beat build (Wait a minute, who are you?)
Okay K.i.D, drop the beat and watch me take it home, baby (Let’s go)

I get chicken, no tender
Fine lil' bitches on Twitter
Denyin’ all these hoes on Insta
Brand new drip
I wear it one time like a nigga can't fit it
Blame it on Baby, a greasy lil' nigga (Grease)
​iPhone ringin', who is it? (Brr)
Probably some lil’ nigga bitch
He fuck with my old ho
And he think he hurtin' my feelings, I already hit (Haa), psych
He must ain't heard about Baby
He must not know about Jon Jon
I heard they shut down the airport
Hopped on a jet to LA, bitch, I'm ballin' like Bron-Bron
BDB, we gon' cut up regardless
I know I'm on top, I'm a target
My young nigga ballin' like Giannis
You play, we gon' pull up and shoot
Top floor of the penthouse, biggest one still in Charlotte (Let's go)
I know these hoes gon' creep
I'll never be a fool and think that she me
I'm the type to let a ho do what she want
I'm the type to let a bitch do what she please (Please)
I ain't breakin' bread, I'm cheap
Nine out of ten of these niggas naive
Lame-ass nigga, might as well be a rat
Lettin' all these hoes run away with yo' cheese, (Slow down, slow down) please

I'm startin' to think that y'all the police, nigga
You know that shit you see on IG, you don't know me, nigga, let's go
You crossed the line, gon' have to show me nigga
They be like ""Why you switched the beat​?"" Because my flow neat, nigga
""I thought he couldn't switch the flow, how the hell he switchin' the beat up?“
They don't know who they fuckin' with, do this shit with my feet up
Yawning on these niggas, sit back, go to sleep
I get woke by a lil freak, with my dick in her mouth, she eat up
300K in cash, probably still'll pull out a Visa
Ain't goin' on a date, tell a bitch to order a pizza
Gon' end up eatin' Domino's, I can't even lie
I'm a player, I had all kind of hoes way before the designer clothes
I put on a sweatsuit and leave with ya ho
A whole arena full of people to see me at the show, you know?
I rock the show and I lay low with my freak
It ain't too many rappers that can fuck with me, and she know, let's go
I know these hoes gon' creep
I'll never be a fool and think that she me
I'm the type to let a ho do what she want
I'm the type to let a bitch do what she please (Please)
I ain't breakin' bread, I'm cheap
Nine out of ten of these niggas naive
Lame-ass nigga, might as well be a rat
Lettin' all these hoes run away with yo' cheese, please",https://genius.com/Dababy-blame-it-on-baby-lyrics,2020-05-02,2020-04-17,0.0761758511758512,0.5002515502515504
4,7150,903,Drake,Losses,5520818,"Hey, Instagram
This song I've been writing, oh, for a few months
I don't know, I, I started writing it about family
Just came up now, so
Anybody feel any way about it, I don't give a fuck
(Yeah, family)

Yeah
Yeah
Lost you to the game, I gotta hug that
I was here when you was asking where the love at
Dip your finger in the bag to get your buzz back
I was wishin' on a star when I was that
I've been fortunate enough to have it my way
I'm a fortune teller, listen to what I say
'Member when we used to park up in my driveway
I always told it how it was, I never shy away
This life is really something you get lost in
I know niggas that got famous and they bought friends
I had friends that only had half of they heart in
It's hard to accept now, and it was hard then
But I treated you like gold, I was all in
Spoiled rotten, they could smell you 'fore you walked in
Burnin' incense in your new apartment
But you got no sense when it come to
Lost you to the game, I gotta hold that
How you feelin' in your soul since you sold that?
I'll be better off without you, and we know that
You ain't lookin' at a nigga you could hold back
Like I'm tryna show the waves, this is no cap
You sold me up the river, but I rowed back
You put me on the road without a roadmap
I'm not tryna make no song, these are cold facts
You got some liquor at the house?
Yeah
Go get a shot, let's do a shot together
I don't see it
Okay, hahaha

Ayy
Being here wasn't in the plans
I do it for the Grahams, not the 'Gram
I do it for the fam, but still fuckin' Uncle Sam
I tried to change for you, but that wasn't who I am
Even when being real is out of fashion
Niggas keep stealin' my style, now we out here matchin'
I did it by being myself with no dramatic acting
I couldn't sit around and wait, I had to have it happen
Lost you to the game, I gotta face that
Really think I lost you like a ways back
Always sayin' how a nigga never play fair
I took you up under my wing and you just stayed there
You was supposed to grow some wings, get your own pair
We started this from the bottom, now you alone there
Shit, you treat it like it's home there
Dependent on me, you was supposed to get your own share
I still love you to my last days
I never knew that shit would be this fast-paced
I never thought I'd see awards in a glass case
I could've ended up in your crib with a masked face
It could've went left on a couple bad days
When I visit my last place is the only time I'm in last place
See me these days, I never got on a sad face
See me these days, I
Lost you to the game, and I see why
It was always you and I without the T-Y
This is not one of them stories that got three sides
This is not one of them stories you could rewind
Like I'm tryna show the waves, this is no cap
You drove a nigga crazy, but I drove back
You wrote me off and then you never wrote back
I'm not tryna make no song, these are cold facts
Yes, sir
(Baby)
Hold on, hold on
(Let me tell you something about me)
(I really do know, I know who I wanna be)
Woo
Lord, I already passed on all that (Woo)
You go 'head on, haha",https://genius.com/Drake-losses-lyrics,2020-05-16,2020-05-01,0.005271464646464652,0.46606691919191917
5,7157,905,Luke Combs,Six Feet Apart,5466029,"When the dogwoods start to bloom
And the crickets hum their tune
That's usually about the time
That I feel most alive
But the news has all been bad
And the whole world seems so sad
I ain't had much else going on
So I sat down and wrote this song

I miss my mom, I miss my dad
Miss the road, I miss my band
Giving hugs and shaking hands
It's a mystery, I suppose
Just how long this thing goes
But there'll be crowds and there'll be shows
And there will be light after dark
Some day when we aren't six feet apart

First thing that I'm gonna do
Slide on in some corner booth
And take the whole damn family out
Buy my buddies all a round
Pay some extra on the tab
Catch a movie, catch a cab
Watch a ball game from the stands
Probably over-wash my hands
I miss my mom, I miss my dad
Miss the road, I miss my band
Giving hugs and shaking hands
Well, it's a mystery, I suppose
Just how long this thing goes
But there'll be crowds and there'll be shows
And there will be light after dark
Some day when we aren't six feet apart

I miss my mom, I miss my dad
I miss the road, I miss my band
Giving hugs and shaking hands
Well, it's a mystery, I suppose
Just how long this thing goes
But there'll be crowds and there'll be shows
And there will be light after dark
Some day when we aren't six feet apart

There will be light after dark
Some day when we aren't six feet apart",https://genius.com/Luke-combs-six-feet-apart-lyrics,2020-05-16,2020-05-01,0.003935185185185185,0.4557870370370371
6,7164,907,Lil Baby,Social Distancing,5519310,"(Section 8 just straight cooked this motherfucker up)
(What's happenin', Chi Chi?)

I told her to fly and she scared of the virus, I sent her a private to get here
I made four hundred dollars off of each of these pounds, I ain't trippin', it's gon' be a good year
Solomon drivin' while I got my hands on the chopper, I'm keepin' my eyes in the rearview
I'm from Atlanta where they pay to triple cross niggas, they'll dap you up, then they'll kill you
These niggas fake and I'm real, I don't feel 'em
My niggas takers, ain't worried 'bout 'em stealing
I run with apes and some baby gorillas
I know a few (Shh), I can buy me a nigga
Said I wouldn't change but my change a lil' bigger
Four-carat ring leave a scar if I hit you
Look like a spaceship, got stars in my vehicle
These niggas fake and I don't wanna deal with 'em all

I'm social distancing
Man, these niggas can't touch me, I can't get sick
Good excuse for me to pour up medicine (Syrup)
She say I ain't got no heart and I'm devil-sent
I'm on some savage shit, ah
I got the drop on the opps, switched the cars
I got a hundred inside of a drum
We pull up clapping, a round of applause
We just gon' say that they won the award
Slide in the daytime, then come back at night
We gon' make sure that nobody play with us
They make me mad, I'ma turn up
Let's talk about money, I swear I been savin' up
I'm really sick with this shit, got 'em throwin' up
He hit a lick for a brick, now he goin' up
My niggas rapping, you see us, we blowin' up
Hit the bitch for a rack, then ignore her
I'm so sick of these rats and these whores
I might marry my girl and just go away
Eat her out if she rich, got expensive taste
We ain't got rush, told the pilot to fuckin' wait
Ain't no way I can go on no fuckin' date
I don't know her and she don't know me
My lil' boy 'dem turnt up at a young age
You can say that it run in my genes

I'm social distancing
Man, these niggas can't touch me, I can't get sick
Good excuse for me to pour up medicine (Syrup)
She say I ain't got no heart and I'm devil-sent
I'm on some savage shit, ah
I got the drop on the opps, switched the cars
I got a hundred inside of a drum
We pull up clapping, a round of applause
We just gon' say that they won the award
I'm social distancing
Man, these niggas can't touch me, I can't get sick
Good excuse for me to pour up medicine (Syrup)
She say I ain't got no heart and I'm devil-sent
I'm on some savage shit, ah
I got the drop on the opps, switched the cars
I got a hundred inside of a drum
We pull up clapping, a round of applause
We just gon' say that they won the award
I'm social distancing
Man, these niggas can't touch me, I can't get sick",https://genius.com/Lil-baby-social-distancing-lyrics,2020-05-16,2020-05-01,-0.07826617826617828,0.5300875050875051
7,7200,912,Ariana Grande & Justin Bieber,Stuck With U,5524080,"Mmm
Hey, yeah
(That's just for fun)
(What?)
(I'm stuck with you)
Ah

I'm not one to stick around
One strike and you're out, baby
Don't care if I sound crazy
But you never let me down, no, no
That's why when the sun's up, I'm stayin'
Still layin' in your bed, singin'

Ooh, ooh, ooh, ooh
Got all this time on our hands
Might as well cancel our plans, yeah
I could stay here for a lifetime

So, lock the door and throw out the key
Can't fight this no more, it's just you and me
And there's nothin' I, nothin' I, I can do
I'm stuck with you, stuck with you, stuck with you
So, go ahead and drive me insane
Baby, run your mouth, I still wouldn't change
Being stuck with you, stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you, baby
There's nowhere we need to be, no, no, no
I'ma get to know you better
Kinda hope we're here forever
There's nobody on these streets
If you told me that the world's endin'
Ain't no other way that I can spend it

Oh, oh, oh, oh (Ooh)
Got all this time in my hands
Might as well cancel our plans (Yeah, yeah)
I could stay here forever

So, lock the door and throw out the key
Can't fight this no more, it's just you and me
And there's nothin' I, nothin' I, I can do
I'm stuck with you, stuck with you, stuck with you
So, go ahead and drive me insane
Baby, run your mouth, I still wouldn't trade
Being stuck with you, stuck with you, stuck with you
I'm stuck with you, stuck with you, stuck with you

Woah
Baby, come take all my time
Go on, make me lose my mind
We got all that we need here tonight
I lock the door (Lock the door) and throw out the key
Can't fight this no more (Can't fight this no more), it's just you and me
And there's nothin' I, nothin' I'd rather do
I'm stuck with you, stuck with you, stuck with you
So, go ahead and drive me insane
Baby, run your mouth, I still wouldn't change
All this lovin' you, hatin' you, wantin' you
I'm stuck with you, stuck with you, stuck with
You, oh, oh

Stuck with you, stuck with you, stuck with you",https://genius.com/Ariana-grande-and-justin-bieber-stuck-with-u-lyrics,2020-05-23,2020-05-08,-0.2183159722222222,0.6664930555555555
8,7202,913,6ix9ine,Gooba,5545285,"I tell a nigga don't dick ride, don't blick ride
Leave it to the double thick thighs, twin sisters
Drop it down and wobble, wobble up, mami booted up
She get down and gobble, gobble up 'cause my money up
Slide, slide in the Bentley truck-a, the Wraith truck-a
Your bestie is a dick sucker, I big dub her
As-salam-alam alaykum, you big hater
You nothin' but a hater, hater, clout chaser

Now we catch him at the chicken spot, up a couple chops
Pop that nigga with a hundred shots, ra-ta-ta-ta-ta
DayDay made that nigga Diddy Bop, cha-cha-cha-cha-cha
He thought we was gon' knuckle up, bitch, I don't box
And these niggas always talkin' shit, yadda-yadda-ya
When you see me, what you talkin' 'bout, fuck you talkin' 'bout?
Niggas always wanna chase clout, bitch, I am clout
Tell 'em get up out my face now 'fore I grrt
Are you dumb, stupid, or dumb, huh?
Play me like a dummy, like bitch, are you dumb?
Are you dumb, stupid, or dumb, huh?
Yeah, you got some money, but you still fuckin' ugly
Stupid, listen
When I talk, you better listen
We can make him dance, bachata
Slide over, do the cha-cha
Grrt, bah-bah
Make a nigga go adiós
Dímelo, mami
Fresca, you nasty
Flame up, light it
They see me and get excited
Two step, spin around, so fly, pilot
They sick, been hot way before coronavirus
Nigga, who did that? Nigga, who did what?
Nigga, that's my shit, don't bite it
I tell a nigga don't dick ride, don't blick ride
Leave it to the double thick thighs, twin sisters
Drop it down and wobble, wobble up, mami booted up
She get down and gobble, gobble up 'cause my money up
Slide, slide in the Bentley truck-a, the Wraith truck-a
Your bestie is a dick sucker, I big dub her
As-salam-alam alaykum, you big hater
You nothin' but a hater, hater, clout chaser

You're mad I'm back, big mad
He's mad, she's mad, big sad
Haha, don't care, stay mad
Ah-hah, ah-hah, ah-hah
Haha, bitch, I'm laughin' 'cause you big mad
See it in your face, cry baby, bitch, you big sad
Niggas tweetin' bout me, got me trendin', bitch, you big sad
Tell me how I ratted, came home to a big bag

(Jah, ayy, you know that boy)",https://genius.com/6ix9ine-gooba-lyrics,2020-05-23,2020-05-08,-0.2391636141636142,0.5675518925518929
9,7275,918,Chris Brown & Young Thug,Go Crazy,5532594,"Oh, yeah
(Oh, is that Kaniel again?)
Oh
(Ayy, bring it, bring it back, bring it back, bring it back)
Oh, yeah

Laid up, got me thinkin', babe
Tell me if you with it 'cause I'm with it, babe
I haven't heard from you in a minute, babe
Just tell me what to do when I get it, babe
Gucci and Prada

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby (Oh)
Everything you do is amazing (Yeah)
Ain't nobody watchin', go crazy (Yeah)
I got what you need (Yeah)
Everybody think you shy, but I know you a freak, lil' baby (Yeah)
I been overseas goin' crazy (Yeah)
I can tell you love it when we made up (Ayy)
Black and gray diamonds like a Raider (Raider)
Orange peel, your love is real (Yeah)
Lovin' skills, I need some lovin' skills (Yeah)
Left my dirty drawers and you love me still (Yeah)
Eyes come lazy, but she is real (Yeah)
Dressed to kill (Yeah, yeah, yeah)
We can bum-bum 'til you're tired (Oh)
I can put a stone by your eye (Oh)
I can see you never switchin' sides
You never tell me lies
Not rushin' tie-ties, yeah

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy (I got what you need)
I got what you need
Everybody think you shy, but I know you a freak, lil' baby
Yeah, get me lit
Hoes on my phone when they find out that I'm rich
Then they switch when they see I'm choosin' on my bitch
Top down, got her doin' donuts on the dick, yeah
Pose for the flick
Damn it, bust it, baby, watch you do it on a split
She don't need no hands or no pants, do your dance
Poppin' rubber bands, did the dash, make it fast (Oh)
(Ayy, bring it, bring it back, bring it back, bring it back)
Yeah, waitin' by me phone just to dick you down, down
Let me put it down, down
Now put it down, down
Watch me put it down, down (Bring it back, bring it back, bring it back)
Put it down, down

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby (Oh)
Everything you do is amazing (Yeah)
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby",https://genius.com/Chris-brown-and-young-thug-go-crazy-lyrics,2020-05-23,2020-05-05,-0.049350027367268755,0.43508483853311414
