,line,corona
0,"i've been quarantined, livin' with my kiddies",True
1,"powdered toes, body toned, waist snatched (waist snatched)",False
2,"i'm a hot ebony, they gon' click it if it's me (if it's me)",False
3,"i swear i got plenty niggas snagged, never comin' home",False
4,we’ll get through it somehow,False
5,"so if you wonderin' why your motherfuckin' weave or your fashionnova fuckin' packages haven't arrived, guess what, bitch? ha-ha-ha, coronavirus, shit is real",True
6,"with a bitch that's shinin', lookin' like the moon",False
7,'cause i need you now but i don't know you yet,False
8,"hands on your knees for me, your knees for me (your knees)",False
9,'cause i told you my level of concern,False
10,i don’t wanna be on my phone,False
11,we've got eachother,False
12,"'cause bitch we can't go outside, yeah",True
13,"no, we won't bow, we won't break",False
14,"it's not just a fling, it's a scandal (on god)",False
15,over and over and over,False
16,yes we have to keep the faith,False
17,now they know that they can't stop me,False
18,they had to cancel graduation,False
19,"'cause when we swing back (swing back), it's like ""oh god"" (oh god)",False
20,a lot of people couldn’t stand that,False
21,"i miss my mom, i miss my dad",False
22,and just put it all in gods hands,False
23,that not all emergencies are equal,False
24,me gusta cómo suenas (como suenas),False
25,"yeah, yeah, yeah",False
26,dios sabe que son buenas nuestras intencionеs,False
27,"i bought my dawg a house, it's no longer vacant",False
28,woh-oh-oh-oh,False
29,been a couple days since i've been out,False
30,we gotta stay in,True
31,"jails multiplyin', change shit, i'm tryin'",False
32,"and these niggas always talkin' shit, yadda-yadda-ya",False
33,"slide, slide in the bentley truck-a, the wraith truck-a",False
34,and look at life with different lenses,False
35,"need it, got it, cash, pockets",False
36,"if you're hypersensitive, i wasn't referencin' the vice president, chill (chill)",False
37,throughly consistently ,False
38,"pandemic fly on the runway, in my hazmat",True
39,and i’m microwaving,False
40,if we wash our hands,False
41,"and we won't bow, we won't break",False
42,"i can't think, i can't lie",False
43,"i miss the road, i miss my band",False
44,"no, we won't stop and we won't drop until the victory's ours (oh)",False
45,and i like walking beside you,False
46,"just need you to tell me we're alright, tell me we're okay, yeah",False
47,"so vocalistically (what?), that's social distancing (yeah)",True
48,i got my old truck runnin' again,False
49,"and we're stronger, that's why we're alive (we are stronger)",False
50,"bitch, i'm very well, on my shit as you could tell",False
51,it's all the little things that are almost powerful,False
52,i’m washing my clothes,False
53,lockdown,True
54,and everybody seems to like him,False
55,go back,False
56,there is a remedy,False
57,i can’t help but wonder,False
58,its courage for days,False
59,"gave him thirty-nine years, i heard him cry in the cell",False
60,and don't get in your motherfuckin' feelings when you see me in the motherfuckin' club randomly,False
61,"trap in bandos, walk in jimmy choo",False
62,"gettin' my lettuce, i'm gettin' my paper, i'm gettin' my trees (woo, woo)",False
63,ody-ody-ody-ody-ody-ody-ody,False
64,"my mask, gloves, soap, scrubs",False
65,todo normal,False
66,while we're waiting around to go under,False
67,"some things never grow (i know alone, i know alone)",False
68,that you won't let show,False
69,"we gon' be alright, we gon' be alright",False
70,"real wet, i said, ""slurp it like it's pasta""",False
71,"two step, spin around, so fly, pilot",False
72,"then, imma let you see",False
73,but any time i feel the paranoia,False
74,"lil' malcolm, martin mixed with mama tina (woo)",False
75,enough social distance,True
76,all my pictures been gettin' these niggas through the quarantine (yeah),True
77,when i can't find my song,False
78,"yeah, yeah, sick",False
79,"floodin' all the hundreds, we done broke the pool",False
80,"i let her roll, quickly got her attached (attached)",False
81,not before five hundred more had succumbed to this disease,True
82,evil times will come and it's here today,False
83,"bitch, back the fuck up like fifteen yards, these rhymes call for a face mask (face mask)",False
84,"you know it, i know it",False
85,now i want you to grab that sponge,False
86,"squirt for me, squirt for me (squirt)",False
87,i'm gonna choose the bright side to see,False
88,"virus, coronavirus",True
89,"yeah, i'm quarantine clean, so relaxed (relaxed, yeah)",True
90,we're all a little bit confused,False
91,drinkin' oughta be a team effort,False
92,if you just call me,False
93,laughs,False
94,"bring it on, bring it on, bring it on, bring it on, bring it on, bring it on now",False
95,"stupid, listen",False
96,"the category is body, look at the way it's sittin' (yeah)",False
97,it's times like these you give and give again,False
98,but if we are wise,False
99,"hol' up, don't i smell like such a nag champa incense?",False
100,"oh, i know that there'll be better days",False
101,is there anybody listening?,False
102,we are warriors (we are warriors),False
103,need you now,False
104,"trust me, they gon' need an army (ah)",False
105,or the silence of the trees,False
106,"i'm a wild light blinding bright, burning off alone, oh-oh-oh",False
107,"yeah, we're all in this together",False
108,find it i know it will pull you through,False
109,"when sunday comes, they expect me to shine",False
110,i just might have a problem that you'll understand,False
111,it gets so hard,False
112,and a promise that would last,False
113,"forgiatos on a benz truck, make her friends fuck",False
114,charities beseechin',False
115,"sleepless nights, barely changin' clothes",False
116,"all this money bring the power, i didn't make the rules (let's go)",False
117,"lookin' from my new perspective, i done realized some things",False
118,and i'm still ride or die for the squad (yeah),False
119,"favorite rappers, i done cut they umbilicals (cut)",False
120,every night and every day,False
121,"it's a mystery, i suppose",False
122,once this place was hummin',False
123,i get a little more use,False
124,wonderin' would you be (would you be),False
125,that i feel most alive,False
126,i close my eyes and i pray,False
127,"ain't no ""u"" or ""i"" in beer, that's right",False
128,it's times like these you learn to live again,False
129,"ooh, yeah, i can't forget my history is her-story, yeah",False
130,it's gonna be alright now,False
131,"sometimes in our lives, we all have pain",False
132,"no looks, just empty words",False
133,i love you like a brother,False
134,i've been there before,False
135,came up off a brick,False
136,facing all the fire the devil can't hurt,False
137,you can’t come to my crib,False
138,be alright,False
139,"my dawg on the same way, the mode is attack",False
140,"we gon get right, bottles all night",False
141,"if the kids are frightened, tell them not to be afraid",False
142,we all remember when school's out,False
143,singing songs thru their phone,False
144,i believe that we will win (i believe that we will win),False
145,i wanna hear it,False
146,curtis mayfield on the speaker (woo),False
147,it's a lonely world,False
148,we're in a weird time of life,False
149,line at trader joe's,False
150,"we can lose the battle, but we gon' win the war",False
151,"hear 'em swarmin', right? (zz) bees is known to bite (zz, zz)",False
152,i guess the longest distance,True
153,"(ancestors on the wall, let the ghosts chit-chat)",False
154,but i know someone who’ll comfort you,False
155,i was goin' through that phase alone,False
156,i know where i'll go,False
157,"i swear to god, we livin' in a cold, cold world",False
158,i don't want it if it's stiff or if that pussy loose,False
159,you may love the carousel,False
160,"'cause i can always be, oh, i can always be",False
161,got nowhere to go,True
162,i've had my share of sand kicked in my face,False
163,all of the stores,False
164,and that's the one thing that hasn't changed (nope),False
165,"grrt, bah-bah",False
166,"body crazy, curvy, wavy, big titties, lil' waist (yeah, yeah)",False
167,"solitary diamonds, i can show proof (ooh)",False
168,there in your house is the answer,False
169,i've been blind for a while now (yeah),False
170,it's times like these you learn to love again,False
171,so now we here so what it do?,False
172,"just be cautious, don't be afraid",False
173,is always the last mile,False
174,"yeah, and the city's shining so bright",False
175,it's time to knuckle up (knuckle up),False
176,"they like, ""chick, how?""",False
177,"monday, tuesday, wednesday, thursday, friday, saturday",False
178,don't touch these clothes,False
179,"i'm durkio, but i'm chicago jay-z",False
180,get imodium and a commode because nobody's even close,False
181,"four hunnid billi', mansa musa (woo)",False
182,"and when it comes to fear, you can either forget everything and run",False
183,"night will fall, the wind will howl",False
184,but we must keep the faith,False
185,"with the dope, i'm an og, i'm like the g.o.a.t.​",False
186,"growin', growin' like a baobab tree",False
187,me gusta cómo suenan,False
188,it feels like a kick in the teeth,False
189,then i hit her with the motherfucking ottoman and bit her,False
190,so much better than me,False
191,this was gonna be our season,False
192,"we are warriors, we'll fight for our lives",False
193,mañana confesamos ahora somos pecadores,False
194,"yeah, you got some money, but you still fuckin' ugly",False
195,"somewhere in the clouds (clouds), chillin' in the sky, oh (sky, oh)",False
196,"first time ever gettin' knocked, i was twelve",False
197,’cause we be busy there's a couple things that we don't get to do,False
198,"it's just been so whack, i just want bro back",False
199,"lean on me, when you're not strong (when you're not strong)",False
200,"woah, woah, woah, woah",False
201,but i don't treat her like she my fiancé (on god),False
202,you got a smart looking face,False
203,"it all looked the same, every mile",False
204,and i know i'm a gift but i think out the box,False
205,real hot girl shit,False
206,"i got enough on my plate tryna turn away, tryna turn away",False
207,a kiss takes your breath away ,False
208,hope’s not gone,False
209,"drippin' in louis v, made a movie, and prada another film",False
210,"money over bitches, gotta play the field",False
211,if we took a trip on the real creep tip (yeah),False
212,"if he like, i throw it fast, real fast, fast, fast",False
213,till the tide starts turning back our way,False
214,"follow my parade, oh, my parade (hey, hey, hey)",False
215,though nobody sees all the ways you answer the call,False
216,it will all come tumblin' down,False
217,"i don’t leave, i stay (stay)",False
218,like trying to fight off a gnat,False
219,and you're never alone,False
220,until this ends,False
221,"you hear them swarmin', right? bees is known to bite",False
222,"tryna teach me how to cha-cha, woah",False
223,through these days of no guarantees,False
224,they built a hospital on east meadow in central park last night,False
225,living in your living room,False
226,"i keep an air max pump on me, no, not my 270s (yeah)",False
227,sharing earphones on the bus,False
228,in a world where you could just lie to me (need you),False
229,"flame up, light it",False
230,"and i don't wanna feel, i don't wanna feel at all",False
231,that's why god put us here,False
232,"dead little juveniles, wait, chill, then",False
233,so love yourself and love your family,False
234,but i know it'll wash away,False
235,been a couple days since i've been around,False
236,"in a lam' truck (yeah), with my richard on (yeah)",False
237,i said i (woo!),False
238,"i'm singing on, i'm singing on",False
239,"shady, slimy, baby, yeah (slime), iguana ('guana)",False
240,we'll be marching through the darkness 'til the morning light (morning light),False
241,i charge my crystals in a full moon,False
242,when you go out in public,False
243,i'm going down as one of the gods,False
244,doctors and nurses all working real hard,True
245,always talking 'bout me 'cause you looking for the clouty,False
246,i found the right in all this wrong and i finally see,False
247,"yeah, i'm quarantine clean, so relaxed, yeah",True
248,you're hiding your hands and just some of god's mysterious ways,False
249,"you need that? i got it, this cash, my pockets",False
250,"ankh charm on gold chains, with my oshun energy, oh",False
251,feels like a bad dream,False
252,"(call me) call me, uh-uh, uh-uh",False
253,and the whole world seems so sad,False
254,every night i am dreamin' that you'll come and creep in my bed,False
255,but you can,False
256,"i will anni-nihilate, kill them",False
257,i've been blind for a while now (blind),False
258,"i just got the key, they let me in, no id",False
259,mwah,False
260,"i believe, i receive every word that he promised me",False
261,i gotta be patient (i gotta be),False
262,your favorite girl on the ‘keys,False
263,phone sex phone sex phone sex,False
264,there by the grace of god go i,False
265,"so much shit that i hold back, memories, cold facts",False
266,and i'm still totally inappropriate with an opiate,False
267,"bitch, this shit unstoppable",False
268,si no podemos vernos,False
269,but can you find me soon because i'm in my head?,False
270,"whatever you do, don't worry 'bout me",False
271,"'nother fourteen-day quarantine, they're cordoning off everything",True
272,"wait a minute, bitch, let me lie here (uh)",False
273,"ooh, melanin, melanin, my drip is skin deep, like",False
274,"motherland drip on me, motherland, motherland drip on me",False
275,we gotta keep looking on to tomorrow,False
276,we're all in this together now,False
277,don’t let them touch your face,True
278,"i'ma put it down on monday, tuesday, wednesday, thursday, friday, saturday",False
279,"there is no ""i"" in beer",False
280,"next episode, got the whole fucking world watching",False
281,"certain vibes, it don't feel right",False
282,why don´t we go back,False
283,because the pressure is ever upon us every night,False
284,(call me),False
285,i frequent are vacant,False
286,no me explico cómo siempre acabamos haciendo,False
287,glasses were all smashin',False
288,and i wanna give them some pussy 'cause they gave me some money,False
289,give you this vibe and i hope you don't mind,False
290,all the dogs is hungry and they sellin' food (yeah),False
291,"bitch, why would i stop?",False
292,"now we catch him at the chicken spot, up a couple chops",False
293,as we are,False
294,and when the remedy's the enemy,False
295,"nigga better catch up, catch up, catch up, catch up (yup, yup, yup)",False
296,buy my buddies all a round,False
297,20/20 hindsight in my side mirror,False
298,i'm a brand new sky to hang the stars upon tonight,False
299,"go sit with god on saturday, ain't got nothin' to do with my sins",False
300,"hiroshima with the flows, a utopia",False
301,or is this the way it ends?,False
302,if i wanna party (woh-oh-oh-oh),False
303,"drip all on me, woo, ankara dashiki print",False
304,but it's our only world,False
305,"yeah, said she wanna fuck to some sza, wait",False
306,they all big mad and they always have been,False
307,"sing, your love be known",False
308,"only those who are awake will make mistakes, then learn to face",False
309,and national guard is on their way,False
310,to curve flatten,True
311,(call me) if you need a friend,False
312,but i can't be found,False
313,"doctors, nurses, truckers, grocery store clerks manning the front lines",False
314,so much time to lose,False
315,"hi, hater, bye, hater, vroom",False
316,saucy like a barbecue but you won't get your baby back,False
317,"yeah, i'm quarantine clean, so relaxed",True
318,"honey, come around my way, around my hive",False
319,how can you miss someone you've never met?,False
320,i can't be havin' ten baby mamas,False
321,i'll be quiet and you'll be quiet too,False
322,"know what it is, get back, i don't mind",False
323,we’re still having fun,False
324,and when your hope is gone he will see you through,False
325,"you could send them missiles, i'ma send my goons",False
326,'til i'm gonna need (gon' need),False
327,riding in a two-seater with two ninas,False
328,what is happening?,False
329,and maybe i said the wrong thing,False
330,for the one who sees a crowd running up,False
331,you get 'em right off the bat (you get 'em right off the bat; yeah),False
332,house in the hills,False
333,our kids sit homе in isolation,True
334,"the niggas—, the bi—, the dumb-ass bitches wanna come up and lay up and give you pussy at, what?",False
335,"i need you to tell me we're alright, tell me we're okay",False
336,si estamos lejos entonces,False
337,"you don't want no problems at your party, don't invite me",False
338,"and if the beat live, you know lil ju made it",False
339,steadier than steel 'cause we're ready with a shield and sword (shield and sword),False
340,"the dj gon' drop this, we made it from scratch",False
341,"always on my page, never double-tap like me",False
342,"i know alone, i know alone (now sunday comes and they expect her to shine)",False
343,"shawty say she want a man, yeah, wunna (wunna)",False
344,and the air was full of drummin',False
345,"and we done rose from the bottom of the map (of the map, uh)",False
346,"know a nigga went through hell and back, now he finally on the tv (yeah)",False
